,A1,Gam1,t1,A2,Gam2,t2,Err
12-13,0.47201872212540985,3.9791741134262626,17.887412093154488,0.15572538563647398,7.753937002677475,22.02414346629135,0.015531353491893688
13-14,0.3616684507407369,5.552625101739552,18.781009248471843,0.052450806803443786,8.77127258381142,30.587758147857656,0.016760549895130636
14-15,0.8288996787445638,3.5766670361085766,17.43122282562702,0.14861770093427096,9.44255702255968,23.499616245090724,0.02271728767402639
15-16,-8.739792900666139e-19,7.183672950107586,17.757732387630142,0.3791234073812623,6.00381978029853,27.371865880201682,0.01325569320173787
16-17,0.28160436260006305,2.6876554614688435,18.16914209421849,0.45830924584174204,8.319388783014729,24.377654688856058,0.03207164134438854
17-18,0.7590408420523428,3.2255469349070873,18.153131236952845,0.6743483272694533,7.378570180920328,22.329201134091853,0.04020905768149265
18-19,0.23439311574323304,3.695831283050361,17.72258161101957,0.5403990026851394,7.418771419428428,26.88489250970531,0.027740432342723175
19-20,0.3945954729470671,3.3046950464257923,17.865756872282482,0.5611971814955142,6.489009879737163,23.62170236533479,0.03106744457720919
22-23,0.832051221657747,5.654586479622823,13.658386822077023,-4.2085057244539327e-17,19.66913195531257,25.25252530650763,0.036482490859431095
23-24,0.7921295321109022,3.7617223899717507,17.031629269306677,0.3189195990196185,10.338159437073053,24.320090966163587,0.019431198972909344
24-25,0.8349121989215089,2.635477733012625,17.870751436914368,1.3459426422684668,4.101553764122898,22.20930526704305,0.030031554398870272
