"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Oct-31-2023)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Overall,White,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Overall,Black,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Overall,Hispanic/Latino,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Overall,Asian/Pacific Islander,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Overall,American Indian/Alaska Native,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Female,Overall,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Male,Overall,null,null
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Overall,Overall,0.2,0.2
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Overall,White,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Overall,Black,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Overall,Hispanic/Latino,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Female,Overall,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Overall,Asian/Pacific Islander,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Overall,American Indian/Alaska Native,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Male,Overall,null,null
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Overall,Overall,0.4,0.2
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Overall,Overall,0.5,0.2
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Overall,American Indian/Alaska Native,null,null
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Male,Overall,null,null
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Overall,White,null,null
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Overall,Black,null,null
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Overall,Hispanic/Latino,null,null
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Overall,Asian/Pacific Islander,null,null
