starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\cnn_22-23.pth
Train loss: 12.55244577092295 Val loss: 1.7968160058226204 Time: 0.5383514999994077
Train loss: 7.721058352563672 Val loss: 1.2122177275764443 Time: 0.48752799999783747
Train loss: 5.786258335165101 Val loss: 1.1252273553982377 Time: 0.48650160001125187
Train loss: 5.17108197182683 Val loss: 0.9864522702082468 Time: 0.4457012999919243
Train loss: 4.971708989417337 Val loss: 0.9704013672726433 Time: 0.5079980000155047
Train loss: 4.478293811267626 Val loss: 0.9165110829053447 Time: 0.43655679997755215
Train loss: 4.351068542256725 Val loss: 0.921675101144956 Time: 0.4517508999851998
Train loss: 3.8304702418171956 Val loss: 0.8984784411106128 Time: 0.45468119997531176
Train loss: 3.738543484316182 Val loss: 0.9910908391466364 Time: 0.451075100019807
Train loss: 3.2177988935378123 Val loss: 0.9461376389954239 Time: 0.4601058999833185
Train loss: 2.91622301649177 Val loss: 0.9811041634529829 Time: 0.6676657999923918
Train loss: 2.574879773935436 Val loss: 1.073946118936874 Time: 0.9031315000029281
Train loss: 2.4930208783134304 Val loss: 1.0874552053865045 Time: 0.8205478000163566
Train loss: 2.1944533051662782 Val loss: 1.1870630498451646 Time: 0.4504776999820024
Train loss: 2.1245419407191353 Val loss: 1.2044702528868996 Time: 0.45321040000999346
Train loss: 2.13664900923618 Val loss: 1.318740818882361 Time: 0.4589335999917239
Train loss: 2.0192302374838107 Val loss: 1.2515853615791457 Time: 0.44136799999978393
Train loss: 1.5979675741107542 Val loss: 1.384278258534323 Time: 0.44240200001513585
Train loss: 1.703857436602675 Val loss: 1.4276313322479837 Time: 0.44085649997578
Train loss: 1.8250691481718109 Val loss: 1.3455230180435933 Time: 0.4456085000128951
Train loss: 1.3917188619848275 Val loss: 1.3871761399095703 Time: 0.44806639998569153
Train loss: 1.5261758189140124 Val loss: 1.504968190958607 Time: 0.44630700000561774
Train loss: 1.3076242299744933 Val loss: 1.5103200835255848 Time: 0.4505098000227008
Train loss: 1.5207673204434036 Val loss: 1.473426926182583 Time: 0.44415130000561476
Train loss: 1.349634558225226 Val loss: 1.5005382982062656 Time: 0.43798990000505
Train loss: 1.4702661659081286 Val loss: 1.6845019120664801 Time: 0.43460350000532344
Train loss: 1.2842388578349926 Val loss: 1.3472985919797793 Time: 0.4334652000106871
Train loss: 1.3365386181224324 Val loss: 1.2925724351662211 Time: 0.43194839998614043
Train loss: 1.320618197994932 Val loss: 1.4320086718071252 Time: 0.44135750000714324
Train loss: 1.4021992788083892 Val loss: 1.3543319542659447 Time: 0.43671539999195375
Train loss: 1.3170265376258854 Val loss: 1.3198188813912566 Time: 0.4266256999981124
Train loss: 1.2539159451881643 Val loss: 1.2877146578104757 Time: 0.4229178999958094
Train loss: 1.1585995555083315 Val loss: 1.3091723654579255 Time: 0.46287310001207516
Train loss: 1.1797581661541265 Val loss: 1.3376054029419393 Time: 0.42488969999249093
Train loss: 1.2021364004807964 Val loss: 1.1736469145380397 Time: 0.4298741999955382
Train loss: 1.1001290038182319 Val loss: 1.2143163099935919 Time: 0.43721539998659864
Train loss: 1.020139700296916 Val loss: 1.184975324670745 Time: 0.43651940001291223
Train loss: 1.0269290368910067 Val loss: 1.2319455140896025 Time: 0.4480539999785833
Train loss: 1.0413373606620837 Val loss: 1.293408625644588 Time: 0.4240130000107456
Train loss: 1.11119502454655 Val loss: 1.1907766665535746 Time: 0.4366470999957528
Train loss: 1.0083668418636984 Val loss: 1.26055032880544 Time: 0.42298100001062267
Train loss: 1.1797876520844284 Val loss: 1.1324705352308229 Time: 0.4417620000021998
Train loss: 1.0002821101862054 Val loss: 1.1242169276956702 Time: 0.43344880000222474
Train loss: 1.016213708588296 Val loss: 1.265325906824728 Time: 0.4262045999930706
Train loss: 0.979886561808241 Val loss: 1.2798065147408124 Time: 0.4265935000148602
Train loss: 1.019458875200982 Val loss: 1.301134027489752 Time: 0.43516619998263195
Train loss: 0.9636799482303786 Val loss: 1.0689610932950018 Time: 0.4285153000091668
Train loss: 0.8407733653312164 Val loss: 1.1562731121994148 Time: 0.42992030002642423
Train loss: 0.8588407226788526 Val loss: 1.121390970176435 Time: 0.4259498000028543
Train loss: 0.945191108652061 Val loss: 1.2491058272516966 Time: 0.4190618000284303
Train loss: 0.9165711816266384 Val loss: 1.1346764699555933 Time: 0.42793750000419095
Train loss: 0.8148600593111475 Val loss: 1.0995573872933164 Time: 0.42846699999063276
Train loss: 0.7872130674890521 Val loss: 1.147140157308968 Time: 0.4294699000020046
Train loss: 0.8053312535231818 Val loss: 1.1370973627308558 Time: 0.4227424999990035
Train loss: 0.7015514927641553 Val loss: 1.1638918880780693 Time: 0.4315896999905817
Train loss: 0.8463923977184944 Val loss: 1.091022986531243 Time: 0.43218410000554286
Train loss: 0.8253825173501674 Val loss: 1.2125989666366195 Time: 0.41758199999458157
Train loss: 0.7967977307272314 Val loss: 1.325240228831717 Time: 0.43492309999419376
Train loss: 0.7648183171027014 Val loss: 1.0675981750678147 Time: 0.4216262999980245
Train loss: 0.8111709822769626 Val loss: 1.1660756798207785 Time: 0.43997209999361075
Train loss: 0.8506960517653397 Val loss: 1.0384135470405909 Time: 0.4202369000122417
Train loss: 0.7652665828203666 Val loss: 1.224859959071182 Time: 0.41713509999681264
Train loss: 0.7816300493828372 Val loss: 1.194684739502918 Time: 0.43493589997524396
Train loss: 0.6627403655195825 Val loss: 1.0209394266248637 Time: 0.42163690002053045
Train loss: 0.5997597354904226 Val loss: 1.1023190395280835 Time: 0.42716510000173
Train loss: 0.743002537629593 Val loss: 1.2557616382837296 Time: 0.4396781999967061
Train loss: 0.6482709115986305 Val loss: 1.0154762494494207 Time: 0.4440354000253137
Train loss: 0.7938793065231522 Val loss: 1.1302050500598853 Time: 0.455732700007502
Train loss: 0.6813049884763656 Val loss: 0.9685240467078984 Time: 0.42733469998347573
Train loss: 0.7372825229861606 Val loss: 1.1021217631569016 Time: 0.4525128999957815
Train loss: 0.6517259830526996 Val loss: 1.3382075282133883 Time: 0.44353340001543984
Train loss: 0.6549277129344944 Val loss: 1.006642761421972 Time: 0.43659510000725277
Train loss: 0.7653716788316558 Val loss: 1.0450147885130718 Time: 0.4196706999791786
Train loss: 0.751656433385416 Val loss: 1.1709952262826846 Time: 0.49646590001066215
Shrinking learning rate to 1e-05
Train loss: 0.6561459433432972 Val loss: 1.1121123425371024 Time: 0.44677159999264404
Train loss: 0.6842477590932048 Val loss: 1.1223465928147789 Time: 0.4267902999999933
Train loss: 0.5657588235750168 Val loss: 1.1494419976680774 Time: 0.42820449999999255
Train loss: 0.6405997201661757 Val loss: 1.1284146918533224 Time: 0.422504599991953
Train loss: 0.801189030200959 Val loss: 1.1418934061448454 Time: 0.4399105999909807
Train loss: 0.5925061559095148 Val loss: 1.1321282041226368 Time: 0.42677459999686107
Train loss: 0.6602308647818518 Val loss: 1.1485781726232744 Time: 0.39444210001965985
Train loss: 0.5930720188800649 Val loss: 1.1545554210752016 Time: 0.40378079999936745
Train loss: 0.5452986723756119 Val loss: 1.1217721641753542 Time: 0.40526579998550005
Train loss: 0.48770168555795834 Val loss: 1.1302442261940087 Time: 0.4160037999972701
Train loss: 0.6060784130986576 Val loss: 1.1008976813618574 Time: 0.40389970000251196
Train loss: 0.541426802273997 Val loss: 1.1545420892944094 Time: 0.4184536999964621
Train loss: 0.5535521236727208 Val loss: 1.1633029904699015 Time: 0.4203985000203829
Train loss: 0.6123345220126991 Val loss: 1.1403859615047622 Time: 0.40822949999710545
Train loss: 0.4763821362060483 Val loss: 1.1329934486584534 Time: 0.42348719999426976
Train loss: 0.5885993307945512 Val loss: 1.1417838171291805 Time: 0.40968740000971593
Train loss: 0.5729060176505811 Val loss: 1.1331020482957683 Time: 0.4185365999874193
Train loss: 0.5451261988323566 Val loss: 1.164694352848528 Time: 0.41052969999145716
Train loss: 0.5204690404089487 Val loss: 1.157547624214203 Time: 0.41563639999367297
Train loss: 0.5670652627517825 Val loss: 1.1451554097111512 Time: 0.4344427000032738
Train loss: 0.4993950927536659 Val loss: 1.1467533483646548 Time: 0.4177358000015374
Train loss: 0.5902071296243179 Val loss: 1.1568636935699033 Time: 0.4130785000161268
Train loss: 0.5215108391626302 Val loss: 1.1771457040986206 Time: 0.40657250001095235
Train loss: 0.5709038689170294 Val loss: 1.190762657614357 Time: 0.41112420000717975
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 0.571467641124066 Val loss: 1.138967933145068 Time: 0.4673043000220787
Train loss: 0.673642492888483 Val loss: 1.1382204095825728 Time: 0.4108239999914076
Train loss: 0.5965405728431392 Val loss: 1.1431775226628815 Time: 0.4305408999789506
Train loss: 0.6041880920956455 Val loss: 1.1433464921210543 Time: 0.41015449998667464
Train loss: 0.5169274215580231 Val loss: 1.1487875157272356 Time: 0.40413599999737926
Train loss: 0.5526944153646705 Val loss: 1.1507511085237638 Time: 0.42550979999941774
Train loss: 0.5731149128000332 Val loss: 1.1479410125866707 Time: 0.44608269998570904
Train loss: 0.5419095452990739 Val loss: 1.1500890231436642 Time: 0.45146650000242516
Train loss: 0.6398714095210352 Val loss: 1.150901410728693 Time: 0.4108280000218656
Train loss: 0.4662701749944631 Val loss: 1.1527221662508964 Time: 0.40787550000823103
Train loss: 0.5128390226024067 Val loss: 1.1500389383818401 Time: 0.42057370001566596
Train loss: 0.5284900193653357 Val loss: 1.151156880227063 Time: 0.41653950000181794
Train loss: 0.484003176155845 Val loss: 1.1507430191122694 Time: 0.4345331000222359
Train loss: 0.5188333784467751 Val loss: 1.154403740683847 Time: 0.43716900001163594
Train loss: 0.5419496395099088 Val loss: 1.1550038213372318 Time: 0.43509549999726005
Train loss: 0.4703864396211266 Val loss: 1.1651167712989263 Time: 0.42555409998749383
Train loss: 0.4816419828522669 Val loss: 1.1599869181318354 Time: 0.4045238000107929
Train loss: 0.5127333859039807 Val loss: 1.1557156308026606 Time: 0.43097100002341904
Train loss: 0.44868884702194123 Val loss: 1.1516423882585514 Time: 0.433772799995495
Train loss: 0.601042055413842 Val loss: 1.1564600345591316 Time: 0.41861969997989945
Train loss: 0.6321575515274598 Val loss: 1.1535838328318277 Time: 0.4195854999998119
Train loss: 0.4408056507992768 Val loss: 1.156321526843385 Time: 0.42396159999771044
Train loss: 0.5667289915622931 Val loss: 1.1568453053751 Time: 0.4001544000057038
Train loss: 0.5596375092361487 Val loss: 1.1575108873348654 Time: 0.4170602000085637
Train loss: 0.5480204657746208 Val loss: 1.162254219814713 Time: 0.43412499999976717
Train loss: 0.5989589457370679 Val loss: 1.1648516312616266 Time: 0.41507600000477396
Train loss: 0.5461414519363663 Val loss: 1.1640945026756526 Time: 0.41169219999574125
Train loss: 0.611228717136672 Val loss: 1.1601116973506578 Time: 0.41906810001819395
