starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\gru_23-24.pth
Train loss: 3.5346466688987688 Val loss: 0.0 Time: 0.9295592999988003
Train loss: 3.6944229654639766 Val loss: 0.0 Time: 0.8179782999941381
Train loss: 2.9332456192163563 Val loss: 0.0 Time: 0.7305305000045337
Train loss: 3.0330596951348094 Val loss: 0.0 Time: 0.70671910000965
Train loss: 2.7321796904125253 Val loss: 0.0 Time: 0.7145052999985637
Train loss: 2.59415670315074 Val loss: 0.0 Time: 0.6997169000096619
Train loss: 2.4527965838584938 Val loss: 0.0 Time: 0.6944220000004862
Train loss: 2.3578970532056553 Val loss: 0.0 Time: 0.6983154000045033
Train loss: 2.2896741703410415 Val loss: 7.671608841519628e-07 Time: 0.7145773999945959
Train loss: 2.169482777121681 Val loss: 0.0 Time: 0.7075658000103431
Train loss: 2.1858031039670323 Val loss: 6.684902018605499e-06 Time: 0.8987534000043524
Train loss: 2.075417609888461 Val loss: 3.128880621261487e-07 Time: 1.0306381999980658
Train loss: 2.003620573657245 Val loss: 2.036356454482302e-05 Time: 1.0867929000087315
Train loss: 2.127856842787281 Val loss: 0.0 Time: 1.1831724000076065
Train loss: 2.027118684774509 Val loss: 0.0 Time: 1.0558407000062289
Train loss: 1.9229236953098106 Val loss: 0.0 Time: 1.0134252999996534
Train loss: 1.8593693407152188 Val loss: 0.0 Time: 1.0439484999951674
Train loss: 1.9849236245182877 Val loss: 0.0 Time: 0.9877447999897413
Train loss: 1.761500451986688 Val loss: 0.0 Time: 1.0694000000075903
Train loss: 1.8716052944346053 Val loss: 0.0 Time: 0.9817555999907199
Train loss: 1.7726402789608047 Val loss: 0.0 Time: 1.088243500009412
Train loss: 1.7743758252850803 Val loss: 0.0 Time: 1.1409707999991952
Train loss: 1.63903605177638 Val loss: 0.0 Time: 1.0946245000086492
Train loss: 1.6137344172568424 Val loss: 0.0 Time: 0.9766805000108434
Train loss: 1.5969890992101838 Val loss: 0.0 Time: 0.9989424000086728
Train loss: 1.5912573966623929 Val loss: 0.0 Time: 0.9608596000034595
Train loss: 1.7752219002438459 Val loss: 0.0 Time: 0.9310745000111638
Train loss: 1.4852373139345108 Val loss: 0.0 Time: 0.9345379000005778
Train loss: 1.4313751421021847 Val loss: 0.0 Time: 0.923818700000993
Train loss: 1.623574737819272 Val loss: 0.0 Time: 0.9243870999926003
Train loss: 1.3771449760774317 Val loss: 0.0 Time: 1.0223949999926845
Train loss: 1.4755414373699214 Val loss: 0.0 Time: 1.0436956999910763
Train loss: 1.4846624659787029 Val loss: 0.0 Time: 0.9702298000047449
Train loss: 1.4963481760382464 Val loss: 0.0 Time: 1.0750228999968385
Train loss: 1.3728542195836597 Val loss: 0.0 Time: 0.9631381999934092
Train loss: 1.3172061273936997 Val loss: 0.0 Time: 0.9254002000088803
Train loss: 1.4215867891207523 Val loss: 0.0 Time: 0.816494300001068
Train loss: 1.3022257538860955 Val loss: 0.0 Time: 0.6687593000096967
Train loss: 1.1866888446782227 Val loss: 0.0 Time: 0.6759132000006502
Train loss: 1.3106311401100559 Val loss: 0.0 Time: 0.6634837000019616
Train loss: 1.1825404165791626 Val loss: 0.0 Time: 0.6474242999975104
Train loss: 1.3396282304777964 Val loss: 0.0 Time: 0.6616015000035986
Train loss: 1.313920321378451 Val loss: 0.0 Time: 0.6974284000025364
Train loss: 1.2005308553409728 Val loss: 0.0 Time: 0.6708504000125686
Train loss: 1.2856936966956742 Val loss: 0.0 Time: 0.6733878999948502
Train loss: 1.0567510964828704 Val loss: 0.0 Time: 0.6595643000036944
Train loss: 1.246485765811505 Val loss: 0.0 Time: 0.6603318999987096
Train loss: 1.2238762980642726 Val loss: 0.0 Time: 0.6614430000045104
Train loss: 1.1071962563290167 Val loss: 0.0 Time: 0.680762699994375
Train loss: 1.230898835890126 Val loss: 0.0 Time: 0.6720687000051839
Train loss: 1.2461386094689968 Val loss: 0.0 Time: 0.6652361000014935
Train loss: 1.2029001350977386 Val loss: 0.0 Time: 0.6835382999997819
Train loss: 1.1533999531701191 Val loss: 0.0 Time: 0.7019215999898734
Train loss: 1.169320188350646 Val loss: 0.0 Time: 0.7053913999989163
Train loss: 1.0684658380052783 Val loss: 0.0 Time: 0.6835965999925975
Shrinking learning rate to 1e-05
Train loss: 1.127036859595994 Val loss: 0.0 Time: 0.7248876999947242
Train loss: 1.0365054419257373 Val loss: 0.0 Time: 0.6574275000020862
Train loss: 1.167758342084504 Val loss: 0.0 Time: 0.6591504000098212
Train loss: 1.0952312157601014 Val loss: 0.0 Time: 0.666145899987896
Train loss: 1.0738662010158038 Val loss: 0.0 Time: 0.6629736000031698
Train loss: 1.0025138657128674 Val loss: 0.0 Time: 0.6631133000046248
Train loss: 1.0545489649750834 Val loss: 0.0 Time: 0.7468894999910844
Train loss: 0.9686469740553418 Val loss: 0.0 Time: 0.7685342999902787
Train loss: 1.0706774905090946 Val loss: 0.0 Time: 0.7686430000030668
Train loss: 1.1122410010092167 Val loss: 0.0 Time: 0.7073624000040581
Train loss: 0.9831757241873404 Val loss: 0.0 Time: 0.7780562000116333
Train loss: 1.0666550276708362 Val loss: 0.0 Time: 0.6850968000071589
Train loss: 1.0165978509236027 Val loss: 0.0 Time: 0.6856370000023162
Train loss: 1.1340498151444152 Val loss: 0.0 Time: 0.6682273000042187
Train loss: 0.9967018748615368 Val loss: 0.0 Time: 0.7093668999877991
Train loss: 1.0972493420948624 Val loss: 0.0 Time: 0.7240105999953812
Train loss: 1.1896394546139608 Val loss: 0.0 Time: 0.6635623000038322
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 1.1775816996514088 Val loss: 0.0 Time: 0.7344135000021197
Train loss: 1.0455596261664466 Val loss: 0.0 Time: 0.6761356000060914
Train loss: 1.1444251966422918 Val loss: 0.0 Time: 0.6548394999990705
Train loss: 0.9901520685644294 Val loss: 0.0 Time: 0.7029825000063283
Train loss: 1.0967942453363726 Val loss: 0.0 Time: 0.6983402000041679
Train loss: 0.9609794463498016 Val loss: 0.0 Time: 0.6651889999920968
Train loss: 1.0234971145686087 Val loss: 0.0 Time: 0.6495685000118101
Train loss: 1.0807942618624207 Val loss: 0.0 Time: 0.6587875000113854
Train loss: 1.1518002358758537 Val loss: 0.0 Time: 0.6520883000048343
Train loss: 1.0835868034998464 Val loss: 0.0 Time: 0.6413937000033911
Train loss: 1.004754194620027 Val loss: 0.0 Time: 0.6658584999968298
Train loss: 1.0022959386018337 Val loss: 0.0 Time: 0.6595129000052111
Train loss: 1.085643504160572 Val loss: 0.0 Time: 0.6920154999970691
Train loss: 0.9765605800571784 Val loss: 0.0 Time: 0.6699838000058662
Train loss: 1.0384558589245918 Val loss: 0.0 Time: 0.6855043999967165
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 70.80048269999679
