starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\gru_3lay_drop_22-23.pth
Train loss: 17.11632422599213 Val loss: 2.571337046754479 Time: 1.2503694000042742
Train loss: 14.747952652827667 Val loss: 2.5044909056814504 Time: 1.0961225999926683
Train loss: 14.639941387988301 Val loss: 2.5173887083146838 Time: 1.1137114000011934
Train loss: 14.598763867643072 Val loss: 2.611901161399146 Time: 1.1718961000005947
Train loss: 14.879162602334922 Val loss: 2.5664651679956023 Time: 1.136651399996481
Train loss: 14.861692862652433 Val loss: 2.552685138700781 Time: 1.1501893999957247
Train loss: 14.642531839083517 Val loss: 2.4855718125763815 Time: 1.1335943000012776
Train loss: 14.287691668245891 Val loss: 2.38448679387875 Time: 1.1243462999991607
Train loss: 12.441980750750709 Val loss: 1.9568174398227711 Time: 1.1465850000095088
Train loss: 7.814506115962857 Val loss: 1.410179827202228 Time: 1.1008409000060055
Train loss: 6.185289280846845 Val loss: 1.2871677540388191 Time: 1.1134677000081865
Train loss: 6.105988743173935 Val loss: 1.237532367304084 Time: 1.1753023999917787
Train loss: 6.238375310675949 Val loss: 1.197039937753351 Time: 1.2170268000045326
Train loss: 5.9887915416031055 Val loss: 1.1575457136814293 Time: 1.2168141000001924
Train loss: 5.876070818328879 Val loss: 1.1304402475980169 Time: 1.1892076999938581
Train loss: 5.460329730679847 Val loss: 1.1084318355069627 Time: 1.1934712999936892
Train loss: 5.8373656877925155 Val loss: 1.0812559562791648 Time: 1.0992506000038702
Train loss: 5.539411096825974 Val loss: 1.077568588618754 Time: 1.1009843999927398
Train loss: 5.333448325037812 Val loss: 1.057370518145035 Time: 1.1389420999912545
Train loss: 5.4762408928589625 Val loss: 1.0318418256065343 Time: 1.1411785999953281
Train loss: 4.827765645551427 Val loss: 0.9932200784360248 Time: 1.1224018999928376
Train loss: 5.118691472018531 Val loss: 0.9863524631364271 Time: 1.1121092999965185
Train loss: 4.482299496893109 Val loss: 0.9688056794257136 Time: 1.1162796999997227
Train loss: 4.467890885307712 Val loss: 0.9494496190891368 Time: 1.2021476000081748
Train loss: 4.466598014422183 Val loss: 0.9486202493053497 Time: 1.1455821999988984
Train loss: 4.390996193525989 Val loss: 0.9175561081501655 Time: 1.1328486999991583
Train loss: 4.113956563536854 Val loss: 0.8974749371118378 Time: 1.2042430000001332
Train loss: 3.8694977282725507 Val loss: 0.8808872914523818 Time: 1.2322828000033041
Train loss: 3.7301176749698954 Val loss: 0.8648750542779453 Time: 1.0518072999984724
Train loss: 4.187994796820487 Val loss: 0.8960112049826421 Time: 1.121545599991805
Train loss: 3.8292255266425137 Val loss: 0.9121342926600846 Time: 1.110362300009001
Train loss: 3.6744578277557522 Val loss: 0.8940457939097541 Time: 1.0790789000020595
Train loss: 3.6079679157887674 Val loss: 0.9542182384175248 Time: 1.136406800011173
Train loss: 3.348709355101648 Val loss: 0.9662782730156323 Time: 1.0769467000063742
Train loss: 3.6172967544851793 Val loss: 0.9877889942144975 Time: 1.1134270000038669
Train loss: 3.4102899640423523 Val loss: 0.981501079579175 Time: 1.1377896999911172
Train loss: 3.30454606309757 Val loss: 0.9941347954445519 Time: 1.1348128999961773
Train loss: 3.1258036871896016 Val loss: 0.9921571754093748 Time: 1.1417172999936156
Train loss: 3.003107873788821 Val loss: 1.1220262761271442 Time: 1.1154901999980211
Train loss: 3.328000831370415 Val loss: 1.09445044158565 Time: 1.1189526000089245
Train loss: 3.072897781083956 Val loss: 1.0702259450990823 Time: 1.1747226000006776
Train loss: 3.019507907020845 Val loss: 1.0433922538504703 Time: 1.2841766999918036
Train loss: 2.914525464604392 Val loss: 1.1131582044472452 Time: 1.4159211999940453
Train loss: 2.960628133420762 Val loss: 1.185874269111082 Time: 1.2581388999969931
Train loss: 2.551970423372426 Val loss: 1.1417059335217346 Time: 1.3175767000066116
Train loss: 3.0339767219544274 Val loss: 1.1810384090640582 Time: 1.1858262000023387
Train loss: 2.9031179669888574 Val loss: 1.2319168466456176 Time: 1.2643005999998422
Train loss: 2.637763193779822 Val loss: 1.2280263855791418 Time: 1.1716118000040296
Train loss: 2.8992049026706512 Val loss: 1.1840441148815444 Time: 1.2353903999901377
Train loss: 2.7246775811445803 Val loss: 1.2306456066435203 Time: 1.2239852999919094
Train loss: 2.685546196335496 Val loss: 1.1188912116340362 Time: 1.231478400004562
Train loss: 2.6376053597401503 Val loss: 1.1485801402886864 Time: 1.2146795000007842
Train loss: 2.7413420274785985 Val loss: 1.2692847214639187 Time: 1.2849222000077134
Train loss: 2.5164500499340745 Val loss: 1.2278954363137018 Time: 1.1703298000065843
Train loss: 2.837079135079513 Val loss: 1.2355770345166093 Time: 1.236883499994292
Train loss: 2.5067675319935776 Val loss: 1.3005192501368583 Time: 1.2319588999962434
Train loss: 2.6343875381679815 Val loss: 1.1646737087285146 Time: 1.207199299999047
Train loss: 2.5027987331753874 Val loss: 1.2913523839097252 Time: 1.2662712000019383
Train loss: 2.6495010679431266 Val loss: 1.1591849793912843 Time: 1.2286958000040613
Train loss: 2.263785749424366 Val loss: 1.2434741939650849 Time: 1.2949602000007872
Train loss: 2.552992368009927 Val loss: 1.3012407443966367 Time: 1.246738000001642
Train loss: 2.4600877454870256 Val loss: 1.7072136254282668 Time: 1.1732306000048993
Train loss: 2.7941186259779283 Val loss: 1.2764993610908277 Time: 1.2045367999962764
Train loss: 2.1774743933528886 Val loss: 1.4086977042452418 Time: 1.2458207000017865
Train loss: 2.281275702551508 Val loss: 1.4758471278983052 Time: 1.259803599998122
Train loss: 2.3540845082537563 Val loss: 1.5857837050316448 Time: 1.2164326000056462
Train loss: 2.715329003071174 Val loss: 1.4862709419976454 Time: 1.214059999998426
Train loss: 2.3958472666244646 Val loss: 1.3287271277513355 Time: 1.2166943999909563
Train loss: 2.278801391344211 Val loss: 1.4065844684737385 Time: 1.2172514999983832
Train loss: 2.4034963452641804 Val loss: 1.2873213322018273 Time: 1.2593736000126228
Train loss: 2.1328489547558007 Val loss: 1.6028303562789006 Time: 1.2325615000008838
Train loss: 2.487747066054153 Val loss: 1.4446528640764882 Time: 1.23893059999682
Train loss: 2.101918771488416 Val loss: 1.3606518937740475 Time: 1.2924346999934642
Train loss: 2.183436719602765 Val loss: 1.7476254397479352 Time: 1.272424199996749
Train loss: 2.2087314387140466 Val loss: 1.4995941085858249 Time: 1.2714009000046644
Train loss: 2.5438122633306612 Val loss: 1.6227501411958656 Time: 1.1656132000061916
Train loss: 2.3021638835907003 Val loss: 1.7148619116051123 Time: 1.2403645000013057
Train loss: 2.0344830725899943 Val loss: 1.7052824698621407 Time: 1.289562100006151
Train loss: 2.1795105486212023 Val loss: 2.045115846063709 Time: 1.2525202999968315
Train loss: 2.397029031827575 Val loss: 1.7204234651871957 Time: 1.1865182000037748
Train loss: 2.0403544505797884 Val loss: 1.757775220914482 Time: 1.211815699993167
Train loss: 1.9920887162632237 Val loss: 1.6150094465688198 Time: 1.2211773000017274
Train loss: 2.0121224418695 Val loss: 1.5201255319984739 Time: 1.268262900004629
Train loss: 2.028750513965387 Val loss: 1.5680301291577052 Time: 1.3085538000013912
Train loss: 2.020710119885858 Val loss: 1.480157283716835 Time: 1.1918808999907924
Train loss: 2.0576564384848908 Val loss: 2.182364674168639 Time: 1.2710934999922756
Train loss: 2.24729867054687 Val loss: 1.8793974400032312 Time: 1.267959000004339
Train loss: 1.8500690083890898 Val loss: 1.8431908661541456 Time: 1.2723600000026636
Train loss: 1.7691689478165398 Val loss: 1.44444589171826 Time: 1.247484399995301
Train loss: 1.899571504856895 Val loss: 1.4706782675070826 Time: 1.3338975999940885
Train loss: 1.8090426668230926 Val loss: 1.6709647440438857 Time: 1.2424227000010433
Train loss: 1.8852237306726407 Val loss: 2.0581768490628747 Time: 1.2552543000056176
Train loss: 1.9870520035838692 Val loss: 1.7076336720947438 Time: 1.2690948999952525
Train loss: 2.0336416258368115 Val loss: 1.9412508026580326 Time: 1.234009200008586
Train loss: 1.551602421120871 Val loss: 1.9132907160213648 Time: 1.252278700005263
Train loss: 1.7487998637755073 Val loss: 1.272792555732849 Time: 1.2744307000102708
Train loss: 1.5393923525552036 Val loss: 1.4649261820577522 Time: 1.2584029999998165
Train loss: 1.6984792671541142 Val loss: 2.080375749646919 Time: 1.1964111999986926
Train loss: 1.7064337390497089 Val loss: 2.005759355277455 Time: 1.2337841999978991
Train loss: 1.9215858629339269 Val loss: 1.728349767938198 Time: 1.4571679000073345
Train loss: 1.650439947717125 Val loss: 1.7599149981324445 Time: 1.2961745000066003
Train loss: 1.5896404055932583 Val loss: 1.7634337467352452 Time: 1.4632564000057755
Train loss: 1.7762872655687667 Val loss: 1.7842085190566195 Time: 1.3233564999973169
Train loss: 1.5187500743499251 Val loss: 1.7257073136320251 Time: 1.4884452000114834
Train loss: 1.607021225319699 Val loss: 1.397856638799567 Time: 1.375754099994083
Train loss: 1.4817033434777789 Val loss: 1.3168961628325633 Time: 1.3327349000028335
Train loss: 1.617805648685985 Val loss: 1.7133218979288358 Time: 1.3399177999963285
Train loss: 1.2935901564104377 Val loss: 1.698398688031375 Time: 1.2990473000099882
Train loss: 1.4821385232735178 Val loss: 1.6781043450466768 Time: 1.347950999988825
Train loss: 1.1641508677289507 Val loss: 1.4023328091461735 Time: 1.2920014999981504
Train loss: 1.347561860990803 Val loss: 1.2827774261049854 Time: 1.2521983000042383
Train loss: 1.077627281060743 Val loss: 1.4051535496146244 Time: 1.4209354000049643
Train loss: 1.535981638847513 Val loss: 1.5882809492941306 Time: 1.258754399997997
Train loss: 1.1995976295906183 Val loss: 2.3641478936078784 Time: 1.4289175999874715
Train loss: 1.3377894132641077 Val loss: 1.8982519900315644 Time: 1.306293999994523
Train loss: 1.2490435496094126 Val loss: 1.6922819267350278 Time: 1.4628015999915078
Train loss: 1.0507313021088376 Val loss: 1.6938435405872951 Time: 1.6063182999932906
Train loss: 1.4215711875596018 Val loss: 2.203222263322459 Time: 1.3675598999980139
Train loss: 1.3305173134968555 Val loss: 1.4074672207934782 Time: 1.2722197999974014
Train loss: 1.043989140030475 Val loss: 2.3264040615027284 Time: 1.4639895000000251
Train loss: 1.1187180033645965 Val loss: 1.570288190976271 Time: 1.2900507000013022
Train loss: 0.9889031055279927 Val loss: 1.8697013076489384 Time: 1.3676236000028439
Train loss: 1.097884341428399 Val loss: 1.660009729961189 Time: 1.383925600006478
Train loss: 1.2378813322031839 Val loss: 2.5770199122207487 Time: 1.3062801999913063
Train loss: 0.9947663384826377 Val loss: 1.639130810424831 Time: 1.3073134000005666
Train loss: 1.006626880365191 Val loss: 1.110290471397093 Time: 1.3291902000055416
Train loss: 0.8125384526270799 Val loss: 3.1561153175098298 Time: 1.3411847000097623
Train loss: 1.0248718124035845 Val loss: 2.2922374006827795 Time: 1.3774570999958087
Train loss: 0.9446993624606846 Val loss: 2.1697730833052447 Time: 1.3430682000034722
Train loss: 1.0853651364612147 Val loss: 0.8733919237283772 Time: 1.3387068000010913
Train loss: 0.898193256762298 Val loss: 2.4768616046808347 Time: 1.3161064000014449
Train loss: 0.9538963543169028 Val loss: 1.3481305486156998 Time: 1.4786064999934752
Train loss: 1.0250252905029722 Val loss: 2.934663232038872 Time: 1.2676657999982126
Train loss: 0.8388959095324672 Val loss: 1.0618527402207292 Time: 1.3117764000053285
Train loss: 0.9973957329360458 Val loss: 1.3253679383979033 Time: 1.3440754000039306
Train loss: 0.7842988986314321 Val loss: 2.1732785479689483 Time: 1.3902815000037663
Train loss: 0.9208120464092987 Val loss: 1.0545623453569988 Time: 1.4155389000079595
Train loss: 0.8069791538971733 Val loss: 2.1203419800403935 Time: 1.5288395999959903
Train loss: 0.8764596823139612 Val loss: 1.9555007103349453 Time: 1.310653900000034
Train loss: 0.8075464591517139 Val loss: 1.5423176888571106 Time: 1.3621977000002516
Train loss: 0.7507880356308103 Val loss: 2.2542857120206463 Time: 1.285609900005511
Train loss: 0.6965303149995165 Val loss: 1.8479751577833667 Time: 1.304669900011504
Train loss: 1.027648357251286 Val loss: 0.8345521339260195 Time: 1.3401024000049802
Train loss: 0.7646441204514309 Val loss: 2.6127285730617587 Time: 1.5274644999881275
Train loss: 0.7663482319063335 Val loss: 1.219880140788014 Time: 1.4582229000079678
Train loss: 0.8137361221397377 Val loss: 1.48717244867521 Time: 1.4780293999938294
Train loss: 0.8915545766430304 Val loss: 2.3830183589648186 Time: 1.5765081999998074
Train loss: 0.9542340432508737 Val loss: 0.5990150689389964 Time: 1.3202929999970365
Train loss: 1.1956707560970976 Val loss: 2.2510618051410347 Time: 1.5828470999986166
Train loss: 0.8028178827846624 Val loss: 1.5576502068830536 Time: 1.2827568000066094
Train loss: 0.93528185113151 Val loss: 0.9161864036959741 Time: 1.3326551999925869
Shrinking learning rate to 1e-05
Train loss: 0.7112691719219013 Val loss: 1.393033635453321 Time: 1.2527086999907624
Train loss: 0.8224664358784395 Val loss: 1.3425293613981921 Time: 1.2752540000074077
Train loss: 0.7263248869860917 Val loss: 1.227993983462511 Time: 1.2000139000010677
Train loss: 0.6378365880240363 Val loss: 1.2862802562958677 Time: 1.2633052000019234
Train loss: 0.6806650661148135 Val loss: 1.2257045842900425 Time: 1.233825600007549
Train loss: 0.6521653768200364 Val loss: 1.2469490673061046 Time: 1.2253218999976525
Train loss: 0.6522706366595348 Val loss: 1.2675354137078898 Time: 1.272811000002548
Train loss: 0.734367305734617 Val loss: 1.3505147431673734 Time: 1.2420320999954129
Train loss: 0.6368751622268469 Val loss: 1.3046895977398165 Time: 1.2141660999914166
Train loss: 0.6732355410858171 Val loss: 1.1481704938094026 Time: 1.2370783000078518
Train loss: 0.6472214926917759 Val loss: 1.2469164396809447 Time: 1.2193249000119977
Train loss: 0.6418610870531198 Val loss: 1.2982560919740536 Time: 1.2055981000012252
Train loss: 0.715446465506965 Val loss: 1.2735375166072345 Time: 1.2302934999897843
Train loss: 0.5967504069812417 Val loss: 1.2899669763148722 Time: 1.256913600009284
Train loss: 0.6134113283606091 Val loss: 1.2043962514215707 Time: 1.2205068000039319
Train loss: 0.736405707927327 Val loss: 1.2939536508669676 Time: 1.2219126999989385
Train loss: 0.6604807433348009 Val loss: 1.3302378551921379 Time: 1.2706771999946795
Train loss: 0.6608226298357285 Val loss: 1.3441638954154769 Time: 1.233058500001789
Train loss: 0.5637106644626613 Val loss: 1.31077014477387 Time: 1.2099780999997165
Train loss: 0.7551061107926897 Val loss: 1.3138293265502625 Time: 1.262585799995577
Train loss: 0.624673472668686 Val loss: 1.2250880389411805 Time: 1.2423133999982383
Train loss: 0.575810717397498 Val loss: 1.2613801062401535 Time: 1.2112723000027472
Train loss: 0.7688908628832007 Val loss: 1.3673149084496572 Time: 1.2592569999978878
Train loss: 0.5883460658672148 Val loss: 1.2172817992100136 Time: 1.3710917999997037
Train loss: 0.5632240925119295 Val loss: 1.3446269712765115 Time: 1.1620686999958707
Train loss: 0.6775878332621657 Val loss: 1.3163430530102005 Time: 1.5167872000019997
Train loss: 0.6497437410143587 Val loss: 1.2356744348566906 Time: 1.2268247000029078
Train loss: 0.6628402346989939 Val loss: 1.343316089945688 Time: 1.2720075999968685
Train loss: 0.6000566330802374 Val loss: 1.3960883453001411 Time: 1.2751080999878468
Train loss: 0.6723189655272819 Val loss: 1.2649690095430515 Time: 1.2377720999938902
Train loss: 0.714092261534413 Val loss: 1.372109692938011 Time: 1.2497964999929536
Train loss: 0.6767102148093886 Val loss: 1.2942308732040146 Time: 1.239373099990189
Train loss: 0.5278835816718259 Val loss: 1.3044492454366718 Time: 1.179288400002406
Train loss: 0.5291631907164902 Val loss: 1.2966150807310441 Time: 1.2915312999975868
Train loss: 0.6070005241792893 Val loss: 1.445240204484577 Time: 1.323579100004281
Train loss: 0.7186445715822316 Val loss: 1.2639115882151626 Time: 1.2218560000037542
Train loss: 0.5865975796014222 Val loss: 1.3427797700283293 Time: 1.262629000004381
Train loss: 0.6315790871072117 Val loss: 1.2631506410730253 Time: 1.2226574000087567
Train loss: 0.6087840349143911 Val loss: 1.3059224627552908 Time: 1.2201096000062535
Train loss: 0.5636452769332723 Val loss: 1.353267975719632 Time: 1.2721715999941807
Train loss: 0.7206362396309585 Val loss: 1.3643644965662993 Time: 1.2439923000056297
