starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\gru_B_22-23.pth
Train loss: 13.956899584209225 Val loss: 2.1389605932563427 Time: 0.7558125000214204
Train loss: 12.668664491182028 Val loss: 1.9396790661839987 Time: 0.602114100009203
Train loss: 10.757357341363871 Val loss: 1.6234158194274642 Time: 0.47041449998505414
Train loss: 8.432472159064986 Val loss: 1.3486071256920695 Time: 0.49221910000778735
Train loss: 6.853829945456528 Val loss: 1.2148218362417538 Time: 0.4835000000020955
Train loss: 6.18125865032718 Val loss: 1.1727563690510578 Time: 0.45864029999938793
Train loss: 5.816466509400772 Val loss: 1.1552163119777106 Time: 0.4676045999804046
Train loss: 5.582084335132418 Val loss: 1.1481548117881175 Time: 0.45007340001757257
Train loss: 5.480889052987534 Val loss: 1.1450378736262792 Time: 0.466286900016712
Train loss: 5.326498801897612 Val loss: 1.1438162763761284 Time: 0.4384800000116229
Train loss: 5.171402876230122 Val loss: 1.1449752493372216 Time: 0.43305349998991005
Train loss: 5.07390751010334 Val loss: 1.1377268584401463 Time: 0.468518400011817
Train loss: 5.014805107368847 Val loss: 1.1393301819480257 Time: 0.4415815999964252
Train loss: 4.866819542677046 Val loss: 1.1387794519250747 Time: 0.45880530000431463
Train loss: 4.809957031991651 Val loss: 1.13381271486287 Time: 0.45425280000199564
Train loss: 4.669804835552377 Val loss: 1.1312414660060313 Time: 0.4527134000090882
Train loss: 4.673294129784048 Val loss: 1.1334014626118005 Time: 0.45707480001146905
Train loss: 4.5311451693872 Val loss: 1.1394076375351574 Time: 0.5592102999798954
Train loss: 4.484578071212408 Val loss: 1.1292435442919668 Time: 0.6853260999778286
Train loss: 4.332530983021613 Val loss: 1.1352196422267298 Time: 0.5885834000073373
Train loss: 4.34772923525793 Val loss: 1.1428102089878394 Time: 0.6226254000212066
Train loss: 4.2130423931549785 Val loss: 1.1421552208277035 Time: 0.5189461999980267
Train loss: 4.161508439664697 Val loss: 1.1249543294443356 Time: 0.4750196999812033
Train loss: 4.096547051079133 Val loss: 1.13847038038557 Time: 0.5348513000062667
Train loss: 4.046393836457065 Val loss: 1.1424968227706813 Time: 0.383933299977798
Train loss: 3.9351753496937327 Val loss: 1.132339190427274 Time: 0.4496657999989111
Train loss: 3.9175761701417375 Val loss: 1.1459754799107031 Time: 0.6350629000226036
Train loss: 3.8786026164437146 Val loss: 1.14538121723308 Time: 0.5833380999974906
Train loss: 3.774186219296401 Val loss: 1.1533567211881746 Time: 0.5369198999833316
Train loss: 3.7205730296816073 Val loss: 1.1601987155881943 Time: 0.7350888999935705
Train loss: 3.6584189361774926 Val loss: 1.1654700302897254 Time: 0.6087380000099074
Train loss: 3.595972578413627 Val loss: 1.157097694085678 Time: 0.5262428999994881
Train loss: 3.491439223877511 Val loss: 1.1700379020912806 Time: 0.5454594000184443
Train loss: 3.5617707141044925 Val loss: 1.1646471077765455 Time: 0.6087356999923941
Train loss: 3.3468562324828888 Val loss: 1.1748677039195172 Time: 0.586134100012714
Train loss: 3.3256542643453333 Val loss: 1.1826894593271504 Time: 0.5799016999953892
Train loss: 3.2819063987353516 Val loss: 1.179416763850213 Time: 0.6933715999766719
Train loss: 3.2195492829946897 Val loss: 1.1858937947108643 Time: 0.7074521000031382
Train loss: 3.180897089148136 Val loss: 1.2060792806732934 Time: 0.6050981000007596
Train loss: 3.2390004166418294 Val loss: 1.2104498281696578 Time: 0.5958559999999125
Train loss: 3.114459814917666 Val loss: 1.1848316084069666 Time: 0.5348326000093948
