starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\gru_drop_22-23.pth
Train loss: 16.01972439670064 Val loss: 2.5358576538583293 Time: 0.9493535999936284
Train loss: 14.395146600277974 Val loss: 2.4592087899254693 Time: 0.8814392999920528
Train loss: 13.902264284515923 Val loss: 2.378747069516976 Time: 0.8596061999996891
Train loss: 12.314892520470199 Val loss: 2.1927524294869727 Time: 0.865769600000931
Train loss: 9.728183449909679 Val loss: 1.6325577824609354 Time: 0.8498623999912525
Train loss: 7.666266876420252 Val loss: 1.3958138425114157 Time: 0.8525076000078116
Train loss: 6.827099656150984 Val loss: 1.3224419932521414 Time: 0.8713372999918647
Train loss: 6.330625499853532 Val loss: 1.305312226388196 Time: 0.8685859000106575
Train loss: 6.211696676471625 Val loss: 1.3085760725152795 Time: 0.8497795000002952
Train loss: 5.797990739720124 Val loss: 1.3014910843635334 Time: 0.8505749000032665
Train loss: 5.750748821309141 Val loss: 1.2803807226446224 Time: 0.8637168000132078
Train loss: 5.826668518951664 Val loss: 1.284967830282767 Time: 0.8499413000099594
Train loss: 5.498056891118837 Val loss: 1.2508330254640896 Time: 0.8425303999974858
Train loss: 5.306828684008927 Val loss: 1.2316381678683683 Time: 0.8593400999961887
Train loss: 5.520609556549466 Val loss: 1.2222465287195519 Time: 0.849122300001909
Train loss: 5.052710761103411 Val loss: 1.214118173928 Time: 0.8574024999979883
Train loss: 4.747540325327375 Val loss: 1.1878279235643276 Time: 0.8486902000004193
Train loss: 4.651736307873884 Val loss: 1.1677219773773686 Time: 0.8427763999934541
Train loss: 4.726749391753379 Val loss: 1.155928286651033 Time: 0.8415759000054095
Train loss: 4.407167345182202 Val loss: 1.1240360899246298 Time: 0.8630867000028957
Train loss: 4.178806251140994 Val loss: 1.1421012156424695 Time: 0.9564776999905007
Train loss: 4.257624938937848 Val loss: 1.1148576212581247 Time: 0.8464763000083622
Train loss: 4.0558905114307 Val loss: 1.11292214441346 Time: 0.9041987000091467
Train loss: 3.8830669806660847 Val loss: 1.1357220690260874 Time: 0.9035058000008576
