starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\gru_drop_B_22-23.pth
Train loss: 14.165852335689399 Val loss: 2.0868503620295087 Time: 0.8101854000124149
Train loss: 10.829703343007665 Val loss: 1.4713460023631342 Time: 0.7316802999994252
Train loss: 7.3910432558361165 Val loss: 1.0964334684040296 Time: 0.699464099976467
Train loss: 5.940078672907042 Val loss: 0.9802878167233757 Time: 0.6863908999948762
Train loss: 5.580591026278562 Val loss: 0.9261354399641277 Time: 0.6727321000071242
Train loss: 5.155158081426862 Val loss: 0.8989141021083924 Time: 0.6743106999783777
Train loss: 4.952692748920871 Val loss: 0.8899356711481232 Time: 0.6309563999820966
Train loss: 4.89259799784034 Val loss: 0.9009133979780017 Time: 0.6479349999863189
Train loss: 4.691985665394782 Val loss: 0.908283130190739 Time: 0.6352627000014763
Train loss: 4.3733885993359625 Val loss: 0.9065627541858703 Time: 0.6524613999936264
Train loss: 4.212516408769488 Val loss: 0.9336518607742619 Time: 0.6709733000025153
Train loss: 3.962154198040416 Val loss: 0.8812754256650805 Time: 0.6371497999934945
Train loss: 3.894605642737286 Val loss: 0.9149277549149701 Time: 0.6425056000007316
Train loss: 3.740622167652994 Val loss: 0.9696703679728671 Time: 0.6608625000226311
Train loss: 3.454732691458588 Val loss: 0.9989336131548043 Time: 0.6481747000070754
Train loss: 3.185850616434191 Val loss: 0.9746631298039574 Time: 0.6420068999868818
Train loss: 3.0772869987679004 Val loss: 1.002253656857647 Time: 0.6212648000218906
Train loss: 2.9571620410095534 Val loss: 1.0226066911127418 Time: 0.620089400006691
Train loss: 2.7788511841715158 Val loss: 1.0016788060311228 Time: 0.649498400016455
Train loss: 2.6934427152157934 Val loss: 1.1499438919126987 Time: 0.6335541000007652
Train loss: 2.526973809849725 Val loss: 1.134282035753131 Time: 0.6169903999834787
Train loss: 2.2638073779434222 Val loss: 1.2039844035170972 Time: 0.6285012000007555
Train loss: 2.3100946974607837 Val loss: 1.1473379174713045 Time: 0.6515317999874242
Train loss: 2.14147420270789 Val loss: 1.1965253878151998 Time: 0.6249530999921262
Train loss: 2.016913905656807 Val loss: 1.2325553704285994 Time: 0.6472591000201646
Train loss: 2.0943573579133323 Val loss: 1.5186883275282526 Time: 0.697655299998587
Train loss: 2.020713001900475 Val loss: 1.236386719509028 Time: 0.6572732999920845
Train loss: 1.824091747479656 Val loss: 1.3343022264598403 Time: 0.6375506000185851
Train loss: 1.8104177163374082 Val loss: 1.47047026348082 Time: 0.654930599994259
Train loss: 1.9368532076458251 Val loss: 1.4483975727416691 Time: 0.6246749999991152
Train loss: 1.828219683514078 Val loss: 1.3195727762207525 Time: 0.6492566000088118
Train loss: 1.7504873150649018 Val loss: 1.4259641629469115 Time: 0.644541300018318
Train loss: 1.6241948626137201 Val loss: 1.3214184846256103 Time: 0.647892300010426
Train loss: 1.6886751021879718 Val loss: 1.4312344863010367 Time: 0.6218790000129957
Train loss: 1.505970142285852 Val loss: 1.4717429812935734 Time: 0.647807000001194
Train loss: 1.4971067831527591 Val loss: 1.3680895728757605 Time: 0.6524377999885473
Train loss: 1.4529134772715508 Val loss: 1.2690760968835093 Time: 0.6247927999938838
Train loss: 1.516246527651779 Val loss: 1.3141696384409443 Time: 0.6490639999974519
Train loss: 1.3966967565331743 Val loss: 1.4899564139900576 Time: 0.7450907999882475
