starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_22-23.pth
Train loss: 14.474489671546962 Val loss: 2.415540261601791 Time: 1.2206373999943025
Train loss: 14.159815170792228 Val loss: 2.4091310696676373 Time: 0.9068807000003289
Train loss: 14.099517686826752 Val loss: 2.3217978474858683 Time: 0.9196096000086982
Train loss: 13.539378684562282 Val loss: 2.207002379174014 Time: 0.9186772000102792
Train loss: 12.699618559638338 Val loss: 1.9860588182527863 Time: 0.8979965000035008
Train loss: 10.82678228792642 Val loss: 1.6060749031603336 Time: 0.8573677000094904
Train loss: 8.164547849790324 Val loss: 1.2545395700725024 Time: 0.9020385000039823
Train loss: 6.672245478572785 Val loss: 1.1336108664399944 Time: 0.9413620999985142
Train loss: 6.074593031451411 Val loss: 1.0776338410796598 Time: 0.8992152999999234
Train loss: 5.949836345588301 Val loss: 1.053827122959774 Time: 0.8504455000074813
Train loss: 5.935090142969008 Val loss: 1.042159453034401 Time: 0.8114347000082489
Train loss: 5.664074911162114 Val loss: 1.0416086559416726 Time: 0.873679100011941
Train loss: 5.514208247189046 Val loss: 1.0287609452498145 Time: 0.8652901000023121
Train loss: 5.4923409891877295 Val loss: 1.0311374639441055 Time: 0.8152244000084465
Train loss: 5.47026598270209 Val loss: 1.0177379877331987 Time: 0.8294552000006661
Train loss: 5.299305671231394 Val loss: 1.0222691213746202 Time: 0.8448346999939531
Train loss: 5.170943352751721 Val loss: 1.0319172635281575 Time: 0.7958648999920115
Train loss: 5.123867960062437 Val loss: 1.0242998966859886 Time: 0.9333067999978084
Train loss: 4.926632025461753 Val loss: 1.0098706299686455 Time: 0.8906856999965385
Train loss: 5.1649872642687455 Val loss: 1.0063714060306665 Time: 0.8687176000094041
Train loss: 5.111285438767993 Val loss: 1.0161252960097045 Time: 0.9179523999919184
Train loss: 4.7811777366267165 Val loss: 1.017803653026931 Time: 0.8661582999920938
