starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_cnn_drop_22-23.pth
Train loss: 13.939937815734243 Val loss: 2.2507799054474162 Time: 0.8863917999988189
Train loss: 10.034807140646343 Val loss: 1.4975162275950424 Time: 0.8358879000006709
Train loss: 7.251813576287587 Val loss: 1.2617370125080924 Time: 0.8120807000086643
Train loss: 6.563257614370107 Val loss: 1.0513510404434783 Time: 0.8341593999939505
Train loss: 6.0526494223650245 Val loss: 0.9892818273947341 Time: 0.8431018999981461
Train loss: 5.968262235159144 Val loss: 0.9788839965476654 Time: 0.8251586999977008
Train loss: 5.64641877848577 Val loss: 0.964048321631708 Time: 0.8452706999960355
Train loss: 5.474495255740529 Val loss: 0.9528281025982324 Time: 0.8263267000002088
Train loss: 5.167708425276494 Val loss: 0.968393207549525 Time: 0.8576551000005566
Train loss: 4.641523867930384 Val loss: 0.9793834286210767 Time: 0.8072675000003073
Train loss: 4.659516401133596 Val loss: 1.017170495754499 Time: 0.8422520000021905
Train loss: 4.549079940598864 Val loss: 1.052090716708335 Time: 0.8272266999993008
Train loss: 4.24694242509584 Val loss: 1.0942779815668473 Time: 0.8069008000020403
Train loss: 4.005185244030882 Val loss: 1.152295043808408 Time: 0.8584611000114819
Train loss: 3.8610031904913473 Val loss: 1.188287828990724 Time: 0.8279370999953244
Train loss: 3.8080988153106103 Val loss: 1.3055692397756502 Time: 0.8214139000046998
Train loss: 3.3880350293322143 Val loss: 1.3510428258450702 Time: 0.8884107000048971
Train loss: 3.2373949326436806 Val loss: 1.5343021883163601 Time: 0.811584999988554
Train loss: 3.1817988578730683 Val loss: 1.5365859498269856 Time: 0.7587340000027325
Train loss: 2.866012557550281 Val loss: 1.5946866322706796 Time: 0.8032966000027955
Train loss: 2.7538757392774653 Val loss: 1.7920210546435555 Time: 0.7857291999971494
Train loss: 2.6991532654259354 Val loss: 1.6175646764459088 Time: 0.8025976000062656
Train loss: 2.578667571545245 Val loss: 1.8361070716346148 Time: 0.788680799989379
Train loss: 2.383726746616559 Val loss: 1.832092995988205 Time: 0.8082891999947606
Train loss: 2.208375430074961 Val loss: 1.9778927826555446 Time: 0.7820228000055067
Train loss: 2.3058797294892632 Val loss: 1.9673414451535791 Time: 0.8236932999861892
Train loss: 2.057746377896659 Val loss: 2.107693312835181 Time: 0.849519399998826
Train loss: 1.8505233740999183 Val loss: 2.086716120694973 Time: 0.8693520999950124
Train loss: 1.818827390686316 Val loss: 2.0927087105810642 Time: 0.8321065000054659
Train loss: 1.808650030244678 Val loss: 2.153946406469913 Time: 0.8030329000030179
Train loss: 1.8280811909401162 Val loss: 2.2963947174994246 Time: 0.7690417999983765
Train loss: 1.6699068861760902 Val loss: 2.1725935474969447 Time: 0.8285378000000492
Train loss: 1.6794464930159017 Val loss: 2.3384063832927495 Time: 0.8160736999998335
Train loss: 1.5145213534235569 Val loss: 2.1943880875987816 Time: 0.7885463999991771
Train loss: 1.555323947312413 Val loss: 2.5941727198660374 Time: 0.8169716999982484
Train loss: 1.4611911672337874 Val loss: 2.3210246413655113 Time: 0.7896250000048894
Train loss: 1.4585224236516332 Val loss: 2.2996003044827376 Time: 0.8112249999976484
Train loss: 1.4612796261622352 Val loss: 2.265569340728689 Time: 0.8107007999933558
Train loss: 1.4118319384477198 Val loss: 2.208519956588191 Time: 0.8166391999984626
Train loss: 1.4227855904461135 Val loss: 2.2291968536769673 Time: 0.8149435999948764
Train loss: 1.2338425085253966 Val loss: 2.6084631712874398 Time: 0.8130738000036217
Train loss: 1.2795272316211213 Val loss: 2.2086796799267177 Time: 0.872305700002471
Train loss: 1.055844893129588 Val loss: 2.0567431936752314 Time: 0.9431896000023698
Train loss: 1.143014020706794 Val loss: 2.45024515199475 Time: 0.8297332000074675
Train loss: 1.1729463730428533 Val loss: 1.8519613675307482 Time: 0.764107499999227
Train loss: 1.3018595271643967 Val loss: 2.1790628083690535 Time: 0.8357890000042971
Train loss: 1.09490627615976 Val loss: 2.1616976590594277 Time: 0.9200716000050306
Train loss: 1.1021970635655907 Val loss: 2.010072705539642 Time: 0.9519855999969877
Train loss: 1.0530533533569049 Val loss: 1.602653031470254 Time: 0.9152377999998862
Train loss: 0.9122463017948697 Val loss: 1.9491257611371111 Time: 0.9233518999972148
Train loss: 0.848672722618167 Val loss: 2.075848885710002 Time: 0.9015120999974897
Train loss: 1.1869485792338603 Val loss: 1.6893843222493032 Time: 0.8185778000042774
Train loss: 0.8539462532330708 Val loss: 1.8122108957104501 Time: 0.9238746000046376
