starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_drop_22-23.pth
Train loss: 14.319221319353886 Val loss: 2.3828484726345778 Time: 0.9735170000058133
Train loss: 14.230626233416032 Val loss: 2.3679547240462853 Time: 0.911635300013586
Train loss: 14.109666596004672 Val loss: 2.3547786141425604 Time: 0.8868604000017513
Train loss: 13.500583527372072 Val loss: 2.2485410102526657 Time: 0.8966448999999557
Train loss: 11.083739825403882 Val loss: 1.6707020164594724 Time: 0.9157229000120424
Train loss: 7.764725114016296 Val loss: 1.2742567839450203 Time: 0.8669708999950672
Train loss: 6.407766229751164 Val loss: 1.1905658500327263 Time: 0.8826202000054764
Train loss: 5.9884319915155935 Val loss: 1.157313403178705 Time: 0.8822611999930814
Train loss: 6.069765684930847 Val loss: 1.148108327164664 Time: 0.9067820999916876
Train loss: 5.829205622241961 Val loss: 1.159200254951429 Time: 0.8780200000037439
Train loss: 5.633354056610795 Val loss: 1.1273368430847768 Time: 0.9015444999968167
Train loss: 5.634216673490753 Val loss: 1.1284040911996271 Time: 0.890666199993575
Train loss: 5.54077889947912 Val loss: 1.0882190481643192 Time: 0.8823336999921594
Train loss: 5.232823078113796 Val loss: 1.0806612027226947 Time: 0.9441382000077283
Train loss: 5.200326133111966 Val loss: 1.0590585743193515 Time: 1.0176035000040429
Train loss: 5.215936905590761 Val loss: 1.0474043356080074 Time: 0.9660438999999315
Train loss: 4.9000522873242005 Val loss: 1.0216310276591685 Time: 0.9725015000003623
Train loss: 4.824625524466242 Val loss: 1.0032438936177641 Time: 0.999155299999984
Train loss: 4.8742099940859065 Val loss: 0.9781801007047761 Time: 0.9515117999981157
Train loss: 4.6851908020422925 Val loss: 0.9581808457442094 Time: 0.8923141999985091
Train loss: 4.612630092704713 Val loss: 0.9457742862773557 Time: 0.9035934999992605
Train loss: 4.626841512869319 Val loss: 0.9170861348743529 Time: 0.8756328000017675
Train loss: 4.377610480065748 Val loss: 0.8966506366168687 Time: 0.9145828000037
Train loss: 4.161949074872595 Val loss: 0.8842069840466138 Time: 0.8734495999960927
Train loss: 3.827230806842767 Val loss: 0.8591779739072081 Time: 0.881349000002956
