starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_drop_2lin_B_22-23.pth
Train loss: 14.906023831884738 Val loss: 2.474667577949731 Time: 1.2336837999755517
Train loss: 14.51270654549285 Val loss: 2.436065703719123 Time: 1.2223898000083864
Train loss: 14.533764677393265 Val loss: 2.4304419308848537 Time: 1.1119026000087615
Train loss: 14.217895592407512 Val loss: 2.4357609325238627 Time: 1.1486781999992672
Train loss: 14.16516927361016 Val loss: 2.4235727011748622 Time: 1.1487637000100221
Train loss: 13.997338585352907 Val loss: 2.3002316404745216 Time: 1.1082475000002887
Train loss: 11.51894806904653 Val loss: 1.6760788732208312 Time: 1.1696471000032034
Train loss: 8.158038152766586 Val loss: 1.2160955306389951 Time: 1.1060223999957088
Train loss: 6.9500734816762275 Val loss: 1.102481932797673 Time: 1.0949239000037778
Train loss: 6.525263917922198 Val loss: 1.0402672061391058 Time: 1.214804599992931
Train loss: 6.360986775091213 Val loss: 0.9928886409070401 Time: 1.1664331999782007
Train loss: 6.015841435481928 Val loss: 0.9684653608801455 Time: 1.0990544999949634
Train loss: 6.219191453216535 Val loss: 0.9802776468277443 Time: 1.114314500009641
Train loss: 5.988453756470614 Val loss: 0.9813255678745918 Time: 1.1482100000139326
Train loss: 5.74369884101662 Val loss: 0.9549002019084583 Time: 1.1259695999906398
Train loss: 6.021544318154106 Val loss: 0.940724168343877 Time: 1.137521900003776
Train loss: 6.128521909187144 Val loss: 0.9410679574320966 Time: 1.1571391000179574
Train loss: 5.227668356367175 Val loss: 0.9269293146280688 Time: 1.1671038000204135
Train loss: 5.251315290028291 Val loss: 0.920197779109003 Time: 1.1216461999865714
Train loss: 4.847347609087753 Val loss: 0.9079611592278525 Time: 1.1108065999869723
Train loss: 4.938444056110793 Val loss: 0.8943293699210244 Time: 1.119584499974735
Train loss: 4.912061454192568 Val loss: 0.8855110909171344 Time: 1.1277181999757886
Train loss: 4.719031603702916 Val loss: 0.8786704782232846 Time: 1.1490168999880552
Train loss: 4.798132703974048 Val loss: 0.8768474189792528 Time: 1.1703106999921147
Train loss: 4.453264813789944 Val loss: 0.8753890378939104 Time: 1.1212252999830525
Train loss: 4.458233993469095 Val loss: 0.8601455617172178 Time: 1.125577000027988
Train loss: 4.470022468144345 Val loss: 0.864797446585726 Time: 1.1816491000063252
Train loss: 4.186530593709875 Val loss: 0.8529545685487392 Time: 1.1606042999774218
Train loss: 4.076745034522977 Val loss: 0.8874691365344916 Time: 1.1346116999920923
Train loss: 4.435740823767917 Val loss: 0.8343440304161049 Time: 1.1388165000244044
Train loss: 3.81480392392616 Val loss: 0.8344923313707113 Time: 1.1908888000180013
Train loss: 3.87096694005532 Val loss: 0.8380339307768736 Time: 1.153245399997104
Train loss: 4.041535574122164 Val loss: 0.826376918994356 Time: 1.140440099989064
Train loss: 3.528407725565307 Val loss: 0.8939690650631746 Time: 1.1470445999875665
Train loss: 3.334784341937923 Val loss: 0.8679188921214518 Time: 1.138496799976565
Train loss: 3.3490726582603294 Val loss: 0.8235778308007866 Time: 1.1259143999777734
Train loss: 3.2371386433012246 Val loss: 0.8975119235692546 Time: 1.1332098999992013
Train loss: 3.515431324645923 Val loss: 0.8540766710664229 Time: 1.1231767999997828
Train loss: 3.3963650989674723 Val loss: 0.8795898795342509 Time: 1.0942883000243455
Train loss: 3.166983649819834 Val loss: 0.9891102547408082 Time: 1.1858081000100356
Train loss: 3.05859923958382 Val loss: 1.0715882477888954 Time: 1.1652350000222214
Train loss: 2.9553272238237414 Val loss: 0.9950110063655302 Time: 1.1349599999957718
Train loss: 2.919856414873263 Val loss: 0.9603945322451182 Time: 1.1171372999961022
Train loss: 2.997147487754068 Val loss: 0.9098061002150644 Time: 1.1506574999948498
Train loss: 2.731321096854689 Val loss: 0.999873353401199 Time: 1.1428505999792833
Train loss: 3.0453821923896744 Val loss: 1.056016429560259 Time: 1.1650329999974929
Train loss: 2.6773876419982283 Val loss: 1.2519890075309377 Time: 1.1504421999852639
Train loss: 2.572631525777878 Val loss: 1.26249846391147 Time: 1.1528706999961287
Train loss: 2.679372198576069 Val loss: 1.0820554099045694 Time: 1.1372550000087358
Train loss: 2.4223653959347367 Val loss: 1.2402596123865806 Time: 1.147331000014674
Train loss: 2.392705673615607 Val loss: 1.1630748197203502 Time: 1.4156633999955375
Train loss: 2.247847366528387 Val loss: 1.2262098038045224 Time: 1.1628373000130523
Train loss: 2.3824712645317105 Val loss: 1.364085875758974 Time: 1.1979761999973562
Train loss: 2.30537484430937 Val loss: 1.2947374142349872 Time: 1.2376696999999695
Train loss: 2.059700265671233 Val loss: 1.107087868032977 Time: 1.4533465999993496
Train loss: 2.183652438675429 Val loss: 1.432848210019074 Time: 1.1690156999975443
Train loss: 2.1915731675233783 Val loss: 1.1920536929974332 Time: 1.4859599000192247
Train loss: 2.2303953671167744 Val loss: 1.2703808442456648 Time: 1.2830974999815226
Train loss: 2.1163252167033733 Val loss: 1.3786483324818164 Time: 1.3224342000030447
Train loss: 2.282596970386819 Val loss: 1.4810204889654415 Time: 1.265909499983536
Train loss: 1.721926693260979 Val loss: 1.2978807455510832 Time: 1.2362179000047036
Train loss: 1.8887341879961415 Val loss: 1.3562254394455522 Time: 1.2179524000093807
Train loss: 1.7723061530670114 Val loss: 1.039527234621346 Time: 1.2675151000148617
Train loss: 1.7576886884601488 Val loss: 1.224365538393613 Time: 1.2340814000053797
Train loss: 1.7415842619191508 Val loss: 1.1211616997607052 Time: 1.2298013999825343
Train loss: 1.9899697915111574 Val loss: 1.282805744500365 Time: 1.2293039000069257
Train loss: 1.9127231217914664 Val loss: 1.2912202624438578 Time: 1.185027200001059
Train loss: 1.6297508079533376 Val loss: 1.1633222338277847 Time: 1.213048899982823
Train loss: 1.5577936462102224 Val loss: 1.1898685852065682 Time: 1.2005015999893658
Train loss: 1.6443763111560112 Val loss: 1.4267898181917644 Time: 1.2234201999963261
Train loss: 1.3964134299870534 Val loss: 1.002819896209985 Time: 1.20587110001361
Train loss: 1.6562669953489884 Val loss: 1.3271044736466138 Time: 1.20099109999137
Train loss: 1.5371581820000333 Val loss: 1.03820749593433 Time: 1.2483202000148594
Train loss: 1.5078625009326396 Val loss: 0.9843858438889583 Time: 1.2688300000154413
Train loss: 1.6321610684029153 Val loss: 1.2033193204715644 Time: 1.2530114999972284
Train loss: 1.4913192048185095 Val loss: 0.8458706713281572 Time: 1.2646559000131674
Train loss: 1.3714414536159207 Val loss: 1.1141755481453401 Time: 1.4683306000079028
Train loss: 1.495952935610942 Val loss: 1.1748157669098873 Time: 1.3327252000162844
Train loss: 1.5182056137875328 Val loss: 0.9491393432253972 Time: 1.2893332999956328
Train loss: 1.43733777510988 Val loss: 1.0262809619416657 Time: 1.2722725999774411
Train loss: 1.4894478500284916 Val loss: 0.851082291919738 Time: 1.2282103000034112
Train loss: 1.2616757762352726 Val loss: 0.9932459420961095 Time: 1.2337869000039063
Train loss: 1.4682035960283897 Val loss: 0.9318084881564346 Time: 1.3695999000046868
Train loss: 1.4036150042060203 Val loss: 0.7700554316397756 Time: 1.1538410000212025
Train loss: 1.3629515893469302 Val loss: 0.9655241902599982 Time: 1.2522554000024684
Train loss: 1.2494121736251955 Val loss: 1.0588757454097504 Time: 1.2797192999860272
Train loss: 1.3647152217265726 Val loss: 0.7986507348250598 Time: 1.2529543999989983
Train loss: 1.4026348971126459 Val loss: 0.6891505904495716 Time: 1.264615500025684
Train loss: 1.362214982108099 Val loss: 0.9274108676763717 Time: 1.2395933000079822
Train loss: 1.4205613852731345 Val loss: 0.7648388225352392 Time: 1.2108108999964315
Train loss: 1.150445877516045 Val loss: 0.8642394386125716 Time: 1.323217900004238
Train loss: 1.1785297428086636 Val loss: 0.7684799943817779 Time: 1.1972466000006534
Train loss: 1.079478039968174 Val loss: 0.7388255558907986 Time: 1.265263600012986
Train loss: 1.067077601076555 Val loss: 0.7643259824544657 Time: 1.2398401999962516
Train loss: 1.0935520475523353 Val loss: 0.7466951562091708 Time: 1.257399499998428
Train loss: 1.2160028535114473 Val loss: 0.9569385913200676 Time: 1.267628200002946
Train loss: 1.1382653584997913 Val loss: 0.8106359844387043 Time: 1.2955888000142295
Train loss: 1.2541219086042033 Val loss: 0.7534819380380213 Time: 1.285038000001805
Train loss: 1.247669856110664 Val loss: 0.7296424896921962 Time: 1.214515899977414
Train loss: 1.084445012589942 Val loss: 0.6851665840949863 Time: 1.2090433999837842
Train loss: 1.082369716388067 Val loss: 0.8857576279851855 Time: 1.19765109999571
Train loss: 1.125886866460382 Val loss: 0.6916480185755063 Time: 1.2294843000127003
Train loss: 1.251130035594132 Val loss: 0.6898722334299237 Time: 1.2269311000127345
Shrinking learning rate to 1e-05
Train loss: 1.0441562068218282 Val loss: 0.7262993257609196 Time: 1.227835400000913
Train loss: 0.9948846092930277 Val loss: 0.7084481600322761 Time: 1.124881900002947
Train loss: 1.0022646375050024 Val loss: 0.7286537483450957 Time: 1.191709400009131
Train loss: 0.9300482002381449 Val loss: 0.7439923179335892 Time: 1.2194772999791894
Train loss: 0.9025320606626737 Val loss: 0.7379738950403407 Time: 1.195942999998806
Train loss: 0.9598860596625753 Val loss: 0.7024720897898078 Time: 1.1796262999996543
Train loss: 1.2522412507521834 Val loss: 0.7555253781029023 Time: 1.1902879000117537
Train loss: 0.9576175636861808 Val loss: 0.7265767430653796 Time: 1.1761738999921363
