starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_drop_B_22-23.pth
Train loss: 13.663493631436822 Val loss: 2.1432438698684564 Time: 0.707029799988959
Train loss: 11.208617516340013 Val loss: 1.700732502504252 Time: 0.7807484999939334
Train loss: 8.336238345856941 Val loss: 1.294465434664744 Time: 0.7152484999969602
Train loss: 6.534247813713037 Val loss: 1.1478548979571315 Time: 0.6879143000114709
Train loss: 6.061739507224262 Val loss: 1.1018077500048093 Time: 0.6435849000117742
Train loss: 5.587157476688908 Val loss: 1.060940815252252 Time: 0.6755668999976479
Train loss: 5.577879028531669 Val loss: 1.0388934250513557 Time: 0.6641699000028893
Train loss: 5.21452303898715 Val loss: 1.0636334154929727 Time: 0.6503322000207845
Train loss: 5.132769872566762 Val loss: 1.0238779375090417 Time: 0.6780283999978565
Train loss: 4.979326736187005 Val loss: 1.0966259879860445 Time: 0.6734070999955293
Train loss: 4.733656805994318 Val loss: 1.0674576261642414 Time: 0.7016445999906864
Train loss: 4.5781627471883155 Val loss: 0.9974320118035394 Time: 0.7103271000087261
Train loss: 4.506439687820685 Val loss: 1.0533679543659673 Time: 0.7052136000129394
Train loss: 4.365678527710111 Val loss: 1.0491930786010926 Time: 0.7707711999828462
Train loss: 4.272875186490296 Val loss: 1.0192884142015828 Time: 0.737573299993528
Train loss: 4.14115670712982 Val loss: 0.9971478477818891 Time: 0.6905735000036657
Train loss: 4.038148018921149 Val loss: 1.0617404755548705 Time: 0.6941638000134844
Train loss: 3.8952853353969568 Val loss: 1.0476811116000704 Time: 0.6624074999999721
Train loss: 3.8961515325880782 Val loss: 1.0579088373488048 Time: 0.7250158999813721
Train loss: 3.585851052289712 Val loss: 1.0633720322912268 Time: 0.6973277000070084
Train loss: 3.752728971749722 Val loss: 1.0233462286996655 Time: 0.6809020999935456
Train loss: 3.519792702724544 Val loss: 1.1395128854492214 Time: 0.6439713000145275
Train loss: 3.350068974554965 Val loss: 0.9693410724867135 Time: 0.6656882999814115
Train loss: 3.1874049782160307 Val loss: 1.1047691472740553 Time: 0.647028399980627
Train loss: 3.209574513324121 Val loss: 1.1749692870507715 Time: 0.6925670999917202
Train loss: 2.8702085204132217 Val loss: 1.005169951415155 Time: 0.7130602000106592
Train loss: 2.996746180949117 Val loss: 1.1326386214823287 Time: 0.6730895999935456
Train loss: 3.0184857858200225 Val loss: 1.3966321247207816 Time: 0.673910400015302
Train loss: 2.7724845483744502 Val loss: 1.1881096626275394 Time: 0.6935575999959838
Train loss: 2.62801473086082 Val loss: 1.3028331957248156 Time: 0.6381628000235651
Train loss: 2.7191728548622365 Val loss: 1.3243929923992255 Time: 0.631549100013217
Train loss: 2.736035647599664 Val loss: 1.2100552193951444 Time: 0.6326640000042971
Train loss: 2.2269821737147426 Val loss: 1.471202507527778 Time: 0.6495973999844864
Train loss: 2.538243250668291 Val loss: 1.5573529237881303 Time: 0.6540124999883119
Train loss: 2.5974908861025696 Val loss: 1.2664071965846233 Time: 0.6662337000016123
Train loss: 2.481574882301146 Val loss: 1.6843626767695241 Time: 0.6561207000049762
Train loss: 2.3691715065116767 Val loss: 1.5639556302660367 Time: 0.6912512999842875
Train loss: 2.331479934868659 Val loss: 1.4527568760313443 Time: 0.6855728000227828
Train loss: 2.325105900829172 Val loss: 1.6134060618496733 Time: 0.6516075000108685
Train loss: 2.374720796958428 Val loss: 1.6459274800363346 Time: 0.6534994000103325
Train loss: 2.212470337626246 Val loss: 1.7763148615558748 Time: 0.645142900000792
Train loss: 2.2593659365504664 Val loss: 1.7568568786082324 Time: 0.6406627999967895
Train loss: 2.156490259567935 Val loss: 1.5327124721029577 Time: 0.6546465999854263
Train loss: 2.0271613178572494 Val loss: 1.8773331384845733 Time: 0.6536933000024874
Train loss: 2.0067708496623027 Val loss: 1.7851696251491376 Time: 0.6622083999973256
Train loss: 2.050728836854903 Val loss: 1.8810754931582778 Time: 0.684428399981698
Train loss: 2.1882206703417495 Val loss: 1.6557131319714244 Time: 0.6423038000066299
Train loss: 2.0428586721457407 Val loss: 1.5112113200157182 Time: 0.6571740999934264
Train loss: 1.7394868864659294 Val loss: 1.7821689558077196 Time: 0.6865650000108872
Train loss: 2.0133174548507213 Val loss: 1.5257881906013608 Time: 0.6463436000049114
Train loss: 1.8975607376132757 Val loss: 1.7929312975902576 Time: 0.6427678000181913
Train loss: 2.0743865098286847 Val loss: 2.0235030783878756 Time: 0.6561087000009138
Train loss: 1.7851781219789338 Val loss: 2.0375279706604488 Time: 0.6517336000106297
Train loss: 1.8247183748860678 Val loss: 1.901901713645202 Time: 0.6549331999849528
Train loss: 1.8743330011599935 Val loss: 1.6064021411330032 Time: 0.6378020000120159
Train loss: 1.719090926537234 Val loss: 2.0991470665594534 Time: 0.6397451999946497
Train loss: 1.8231655810532692 Val loss: 1.6619510272848856 Time: 0.6521839000051841
Train loss: 1.5603803540586796 Val loss: 1.9317915001884103 Time: 0.662928199977614
Train loss: 1.8261292633583253 Val loss: 1.8770311624684837 Time: 0.6359701999754179
Train loss: 1.8550387571046407 Val loss: 2.049409695261147 Time: 0.6558625000179745
Train loss: 1.6935071740839227 Val loss: 1.6619206273062446 Time: 0.667494599998463
Train loss: 1.5357852127105223 Val loss: 2.1152364540321287 Time: 0.6654078999999911
Train loss: 1.8689548078407086 Val loss: 2.1310714661218526 Time: 0.6596030999789946
Train loss: 1.8108386331171558 Val loss: 1.712176012690179 Time: 0.6515431999869179
Train loss: 1.5820057773575513 Val loss: 1.9383786280377535 Time: 0.6724354999896605
Train loss: 1.5942284528449253 Val loss: 1.9772187108756043 Time: 0.6557928000111133
Train loss: 1.396005995613109 Val loss: 1.713387732859701 Time: 0.6576980999961961
Train loss: 1.5928578941012574 Val loss: 1.8439105279394425 Time: 0.6586819000076503
Train loss: 1.635325866647463 Val loss: 1.820295605197316 Time: 0.6606584000110161
