starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\rnn_22-23.pth
Train loss: 14.878456700973203 Val loss: 2.4684392561757704 Time: 0.6207143999927212
Train loss: 14.659322500504004 Val loss: 2.4574582737113815 Time: 0.5841192999941995
Train loss: 13.501343980844894 Val loss: 2.4555363140057125 Time: 0.7982267999905162
Train loss: 11.99545332870241 Val loss: 2.2378325076788315 Time: 0.6931995000049938
Train loss: 9.140683449555667 Val loss: 1.8272286020801403 Time: 0.686082100000931
Train loss: 6.825535893624991 Val loss: 1.5836822150122316 Time: 0.6881438999989768
Train loss: 5.777285393962291 Val loss: 1.5115478423977038 Time: 0.8844074999942677
Train loss: 5.841412830452697 Val loss: 1.4313018083466886 Time: 1.4312666000041645
Train loss: 5.612082298057013 Val loss: 1.3949265231531172 Time: 1.5120734999945853
Train loss: 5.12429820490058 Val loss: 1.3402153368806466 Time: 1.3755909000028623
Train loss: 5.065187570246316 Val loss: 1.2885392425232567 Time: 0.8012902999907965
Train loss: 5.073424753462219 Val loss: 1.2403296008706093 Time: 0.9198628999874927
Train loss: 4.545869483547085 Val loss: 1.1837321400817018 Time: 0.7203715999930864
Train loss: 4.630240937046164 Val loss: 1.1308974422460096 Time: 0.7189509000018006
Train loss: 4.494316573526402 Val loss: 1.0834236839436926 Time: 0.7153074999951059
Train loss: 4.212728442847627 Val loss: 1.0299481485853903 Time: 0.6852148000034504
Train loss: 3.885858568571159 Val loss: 0.9948391086138111 Time: 0.7220537999965018
Train loss: 3.7664773097818625 Val loss: 0.9694471159891691 Time: 0.7094356000015978
Train loss: 3.707033111153603 Val loss: 0.9564099715025804 Time: 0.6948416999948677
Train loss: 3.6631934994242883 Val loss: 0.9221182004459934 Time: 0.678299799998058
Train loss: 3.8374063336162862 Val loss: 0.9231570720730815 Time: 0.7113314000016544
Train loss: 3.317753833703506 Val loss: 0.9340670354572467 Time: 0.6511574999894947
Train loss: 3.3195039773838104 Val loss: 0.9784486062708311 Time: 0.7396231000020634
Train loss: 3.118689786982057 Val loss: 1.0315782562829554 Time: 0.6976896999985911
Train loss: 2.9104026925833626 Val loss: 1.0753602651820984 Time: 0.6925915999891004
Train loss: 3.0067482101797984 Val loss: 1.0027317282510921 Time: 0.6524360000039451
Train loss: 3.001641287904615 Val loss: 1.0085586967179552 Time: 0.7235844999959227
Train loss: 2.979129546692911 Val loss: 1.121140272464345 Time: 0.715096200001426
Train loss: 2.8771119772937306 Val loss: 1.2724989112230105 Time: 0.7321110000048066
Train loss: 2.479307045864516 Val loss: 1.2013924531465818 Time: 0.7094721000030404
Train loss: 2.9021288586881715 Val loss: 1.4145931410603225 Time: 0.6607088000018848
Train loss: 2.585393738830847 Val loss: 1.2129841868736548 Time: 0.624315299995942
Train loss: 2.3616750071586248 Val loss: 1.5301443381467834 Time: 0.65044399999897
Train loss: 2.795030850087649 Val loss: 1.2752335564000532 Time: 0.7344935000000987
Train loss: 2.552961213542339 Val loss: 1.4814582047692966 Time: 0.6764561000018148
Train loss: 2.3290649356283026 Val loss: 1.6453116413626958 Time: 0.6210535999998683
Train loss: 2.4728366494178395 Val loss: 1.4468123708793428 Time: 0.7643831000023056
Train loss: 2.149132915756013 Val loss: 1.6376095293922255 Time: 0.6549078999960329
Train loss: 2.376196908020219 Val loss: 1.540131180584467 Time: 0.6699520999973174
Train loss: 2.5482583237153453 Val loss: 1.6307797426306934 Time: 0.7265220999979647
Train loss: 2.2922099708558754 Val loss: 1.7914652460021898 Time: 0.6480258000083268
Train loss: 2.156470541730023 Val loss: 1.793187975010369 Time: 0.7047724000003655
Train loss: 2.1602328257529715 Val loss: 1.8878786085988395 Time: 0.6917952000076184
Train loss: 2.031539143158824 Val loss: 1.907621499907691 Time: 0.6862852999911411
Train loss: 2.172263683278068 Val loss: 1.9109140172076877 Time: 0.6606390999950236
Train loss: 2.0907587269178434 Val loss: 1.747966538980279 Time: 0.5948127000010572
Train loss: 2.241456254752606 Val loss: 1.9109829312073998 Time: 0.6659712000109721
Train loss: 1.9128140095109154 Val loss: 2.155664528021589 Time: 0.6459185999992769
Train loss: 2.1392842355990496 Val loss: 2.084985018707812 Time: 0.6576793999993242
Train loss: 1.9597460474555533 Val loss: 2.157346662832424 Time: 0.6293937000009464
Train loss: 1.916316994127948 Val loss: 2.2475341341923922 Time: 0.653952599997865
Train loss: 1.9985935290369592 Val loss: 2.073360480600968 Time: 0.7616284000105225
Train loss: 2.2899639615295246 Val loss: 2.2413092808565125 Time: 0.6520390000077896
Train loss: 2.0252097145877457 Val loss: 2.004379664474982 Time: 0.7239350000018021
Train loss: 1.8388322626949183 Val loss: 2.114277602348011 Time: 0.7325075999979163
Train loss: 1.8186761923075583 Val loss: 2.511465222109109 Time: 0.7060000000055879
Train loss: 2.1067127782834234 Val loss: 2.249274826783221 Time: 0.7764934000006178
Train loss: 1.860592887909494 Val loss: 2.277327275951393 Time: 0.7412144999980228
Train loss: 1.6668220653546264 Val loss: 2.6713818663884012 Time: 0.6937961999938125
Train loss: 2.0235959614662646 Val loss: 2.2056614249013364 Time: 0.7053371000074549
Train loss: 1.6869188482463855 Val loss: 2.4430423077137675 Time: 0.6694356999942102
Train loss: 1.8879119825861534 Val loss: 2.5777298774919473 Time: 0.6782378999923822
Train loss: 1.6034203450896358 Val loss: 2.754448564926861 Time: 0.6510353000048781
Train loss: 1.932400944134038 Val loss: 2.4792174495523795 Time: 0.616757099996903
Train loss: 1.8073054676081008 Val loss: 2.55007763201138 Time: 0.708272499992745
Train loss: 1.7387260253848922 Val loss: 2.8753447071503615 Time: 0.6246749999991152
Train loss: 1.801193405236635 Val loss: 2.5594109391095117 Time: 0.7240550999995321
Train loss: 1.7298644294544694 Val loss: 2.7432382436236367 Time: 0.7177417999919271
Train loss: 1.5494930971379315 Val loss: 2.176832410332281 Time: 0.6963267999963136
Train loss: 1.9125364487941 Val loss: 2.7887928849522723 Time: 0.6228002999996534
Train loss: 1.8551524518081637 Val loss: 2.6755736550549045 Time: 0.7564649999985704
Train loss: 1.6697933682917068 Val loss: 2.598267272580415 Time: 0.6630488000082551
Train loss: 1.7949550570793633 Val loss: 2.715861922421027 Time: 0.6936780999967596
Train loss: 1.5205782348191406 Val loss: 2.6691379226977006 Time: 0.6277244999946561
Train loss: 1.3522373610348026 Val loss: 2.5870270824525505 Time: 0.6956735999992816
Train loss: 1.38077293760509 Val loss: 2.627836484578438 Time: 0.6855179999984102
Train loss: 1.6654650491788345 Val loss: 2.290581008128356 Time: 0.741795900001307
Train loss: 1.6371682941599879 Val loss: 2.521839353343239 Time: 0.6137460000027204
Train loss: 1.4873240322558985 Val loss: 2.8195614527503494 Time: 0.6568626999942353
Train loss: 1.5331499564450723 Val loss: 2.9617814858029305 Time: 0.692827099992428
Train loss: 1.6598597923884313 Val loss: 2.5523574882790854 Time: 0.7177173999953084
Train loss: 1.418512224592285 Val loss: 2.8422928533982486 Time: 0.7141723999957321
Train loss: 1.4558239322885456 Val loss: 2.5433726769988425 Time: 0.715922799994587
Train loss: 1.3929953399568369 Val loss: 2.433588632673491 Time: 0.8700143000023672
Shrinking learning rate to 1e-05
Train loss: 1.5056095675632177 Val loss: 2.523505238990765 Time: 0.706673699998646
Train loss: 1.4237356099358642 Val loss: 2.5154640449909493 Time: 0.7140750999969896
Train loss: 1.2707481294528598 Val loss: 2.538421137200203 Time: 0.74409769999329
Train loss: 1.3831906843646218 Val loss: 2.6815077523933724 Time: 0.6907110000029206
Train loss: 1.3590550742847824 Val loss: 2.6103702819673344 Time: 0.7648039999912726
Train loss: 1.4574832952622714 Val loss: 2.5389449374051765 Time: 0.6509368999977596
Train loss: 1.4671929186633481 Val loss: 2.660110956407152 Time: 0.7548068000032799
Train loss: 1.317399766238907 Val loss: 2.623922873637639 Time: 0.7163198000052944
Train loss: 1.2504178988515084 Val loss: 2.599933211458847 Time: 0.6905393000051845
Train loss: 1.2461877867702285 Val loss: 2.615185890928842 Time: 0.6801726999983657
Train loss: 1.3970172810340102 Val loss: 2.6228286671685055 Time: 0.7300633999984711
Train loss: 1.2846269828358583 Val loss: 2.5579370945924893 Time: 0.7051127000013366
Train loss: 1.3347948066996196 Val loss: 2.5546206433791667 Time: 0.905811899996479
Train loss: 1.4292133645545633 Val loss: 2.5637470070505515 Time: 0.6712178000016138
Train loss: 1.3652065609400665 Val loss: 2.6031156547833234 Time: 0.7107913000072585
Train loss: 1.29601351875624 Val loss: 2.5659101370256394 Time: 0.6989813999971375
Train loss: 1.3034250829191478 Val loss: 2.580088265473023 Time: 0.7495076000050176
Train loss: 1.317168841687078 Val loss: 2.602785633178428 Time: 0.7656147000088822
Train loss: 1.3721086243413119 Val loss: 2.6575021870667115 Time: 0.688010400001076
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 1.210234363841469 Val loss: 2.616790909320116 Time: 0.6599494000111008
Train loss: 1.4110240472648212 Val loss: 2.6285766595974565 Time: 0.737940199993318
Train loss: 1.171855521069861 Val loss: 2.623209673096426 Time: 0.8089615000062622
Train loss: 1.2964611794535248 Val loss: 2.615425884956494 Time: 0.7882163000031142
Train loss: 1.4144280638718598 Val loss: 2.6146905481582507 Time: 0.7239082000014605
Train loss: 1.2939537318974317 Val loss: 2.6181605824967846 Time: 0.6789452999946661
Train loss: 1.2810170846200037 Val loss: 2.620527117047459 Time: 0.6115636000031373
Train loss: 1.2472395405019405 Val loss: 2.6191219307947904 Time: 0.6591612999909557
Train loss: 1.2790183895459108 Val loss: 2.6166131218196824 Time: 0.6932095999945886
Train loss: 1.3602545787842262 Val loss: 2.6169575885869563 Time: 0.6764950000069803
Train loss: 1.3396496279677308 Val loss: 2.620043620467186 Time: 0.6629304000089178
Train loss: 1.4691616410606403 Val loss: 2.619623526232317 Time: 0.7086676000035368
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 84.8307907999988
