starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\rnn_3lay_drop_22-23.pth
Train loss: 14.84235290859408 Val loss: 2.4669359315594193 Time: 1.0126543999940623
Train loss: 14.59923579669362 Val loss: 2.469783471595292 Time: 0.9703824999887729
Train loss: 14.333768513452487 Val loss: 2.5063716435834067 Time: 0.9119692999956897
Train loss: 12.911013382471538 Val loss: 2.3039807383029256 Time: 0.8781950999982655
Train loss: 8.017905604346993 Val loss: 1.7002734677407716 Time: 0.8681034000037471
Train loss: 6.507906748702485 Val loss: 1.5589904235093854 Time: 0.8531914000050165
Train loss: 5.980430119595951 Val loss: 1.4716719124699011 Time: 0.8514543999917805
Train loss: 5.714708172188033 Val loss: 1.4332849291167804 Time: 0.8537637999979779
Train loss: 5.4563512072403135 Val loss: 1.3613175662758294 Time: 0.8323628000071039
Train loss: 5.139788991617493 Val loss: 1.3540402514045127 Time: 0.8537027999991551
Train loss: 4.997556888049157 Val loss: 1.337233894955716 Time: 0.8409408000006806
Train loss: 4.547917648304667 Val loss: 1.2793808497372083 Time: 0.852917800002615
Train loss: 4.71979469986133 Val loss: 1.2725226781476522 Time: 0.8335207000054652
Train loss: 4.4534988436396645 Val loss: 1.2940114452103444 Time: 0.8626508000015747
Train loss: 4.415887689174127 Val loss: 1.2334467178225168 Time: 0.8640491000114707
Train loss: 4.192559896718933 Val loss: 1.2421877079875685 Time: 0.9009930000029271
Train loss: 4.147225805038815 Val loss: 1.2057241179209086 Time: 0.8208334000082687
Train loss: 3.9430437857447203 Val loss: 1.175032442832162 Time: 0.8955537000001641
Train loss: 3.905007638206042 Val loss: 1.1830267393997929 Time: 0.9243110999959754
Train loss: 3.8674461505949385 Val loss: 1.1635446709988173 Time: 0.8617296000011265
Train loss: 3.5902582295388568 Val loss: 1.1458428387559252 Time: 0.8624368999880971
Train loss: 3.5525134724071115 Val loss: 1.1257319882388401 Time: 0.9003927000012482
Train loss: 3.445313646537727 Val loss: 1.098299943478196 Time: 0.9167713999922853
Train loss: 3.3110568953483117 Val loss: 1.0954293663526187 Time: 0.9147910999890883
Train loss: 3.22337440021208 Val loss: 1.1103641591678297 Time: 0.8822167999896919
Train loss: 3.17160932488234 Val loss: 1.071145429777971 Time: 0.9204869000095641
Train loss: 3.0767189221991913 Val loss: 1.0690422953100551 Time: 0.9014851000101771
Train loss: 2.7397204469067944 Val loss: 1.053818512557882 Time: 0.9131397000019206
Train loss: 2.8777937021894386 Val loss: 1.0112698396405904 Time: 0.907472199993208
Train loss: 2.5810481538242414 Val loss: 1.0080153244489338 Time: 0.9245006999990437
Train loss: 2.617228811154007 Val loss: 1.0271939990361716 Time: 0.8967819000099553
Train loss: 2.5256591794549603 Val loss: 0.9632435569656081 Time: 0.9161655999923823
Train loss: 2.3887258414807206 Val loss: 0.9847969950405968 Time: 0.8909574999997858
Train loss: 2.1572266443756494 Val loss: 0.9185704343619818 Time: 0.8900471999950241
Train loss: 2.1806011052478587 Val loss: 0.9318451468825515 Time: 0.8957397999911336
Train loss: 2.1262638549923665 Val loss: 0.9388494942013494 Time: 0.9354349999921396
Train loss: 1.837890483716885 Val loss: 0.9818620206061155 Time: 0.8868286999932025
Train loss: 2.0980540554121916 Val loss: 1.0141067233021204 Time: 0.8935077000060119
Train loss: 1.930802333405915 Val loss: 0.9830987924527221 Time: 0.923130700000911
Train loss: 2.062318278888725 Val loss: 0.9727173992505413 Time: 0.905492799996864
Train loss: 1.8351344671125747 Val loss: 0.8729425858473405 Time: 0.8862160999997286
Train loss: 1.718758054909694 Val loss: 0.9564363771278295 Time: 0.8835342999955174
Train loss: 1.6779952502523408 Val loss: 0.9551592803095446 Time: 0.9132000000099652
Train loss: 1.752557603600195 Val loss: 0.9017755276909156 Time: 0.8846357000002172
Train loss: 1.613036311084409 Val loss: 1.0796313545288285 Time: 0.8932951000024332
Train loss: 1.6118575336585792 Val loss: 0.9168196709506446 Time: 0.9085343000042485
Train loss: 1.6018627835102421 Val loss: 1.0028212497927598 Time: 0.9114796000067145
Train loss: 1.5895038329581688 Val loss: 1.0203859319444746 Time: 0.9243856999964919
Train loss: 1.6337044206777946 Val loss: 0.8991100242128596 Time: 1.0148781000025338
Train loss: 1.4871493840445034 Val loss: 0.9829433609847911 Time: 1.0541566999891074
Train loss: 1.4268745318256606 Val loss: 0.9398384679443552 Time: 0.9998270999931265
Train loss: 1.5583857043855431 Val loss: 0.8943710628936969 Time: 0.9176177000044845
Train loss: 1.5502373729230783 Val loss: 0.9125990590027868 Time: 0.956310299996403
Train loss: 1.3553248813769443 Val loss: 1.035758314417535 Time: 0.9541193000040948
Train loss: 1.3139163891703447 Val loss: 0.8539753491988051 Time: 0.9199446000129683
Train loss: 1.3638397392619934 Val loss: 0.7998717882383062 Time: 0.9146889000112424
Train loss: 1.3710985534843587 Val loss: 0.9028653410348397 Time: 0.969589400003315
Train loss: 1.305395753501891 Val loss: 0.7697867983624747 Time: 1.0971877999982098
Train loss: 1.16220326278696 Val loss: 0.8351422688210732 Time: 1.1162955000036163
Train loss: 1.271175912886632 Val loss: 0.7357975618797354 Time: 1.0777396000048611
Train loss: 1.3267523439478168 Val loss: 0.8049112208865381 Time: 1.0754793000087375
Train loss: 1.17437101626291 Val loss: 0.7534542517678346 Time: 1.108020600004238
Train loss: 1.1043765013142774 Val loss: 0.7891074134058726 Time: 1.0478070999961346
Train loss: 1.114334647970054 Val loss: 1.0170803908258677 Time: 0.9124978000036208
Train loss: 1.070001829935734 Val loss: 0.769027865742828 Time: 0.9487055000063265
Train loss: 1.0691137650337623 Val loss: 0.7366680972045287 Time: 0.9367789999960223
Train loss: 1.0691703745169718 Val loss: 0.663285460999532 Time: 0.9368826999998419
Train loss: 0.988470919000136 Val loss: 0.9153407525909643 Time: 0.9094275999959791
Train loss: 0.9674170996618396 Val loss: 0.7347507981126 Time: 0.9660210000001825
Train loss: 1.041591415568746 Val loss: 0.6974501775112003 Time: 0.9601152999966871
Train loss: 1.020258925384546 Val loss: 0.7219964798860019 Time: 1.028773900005035
Train loss: 1.0071942415108879 Val loss: 0.8606256331258919 Time: 1.1178271999960998
Train loss: 1.0174558400260025 Val loss: 0.7439878039770065 Time: 1.0236135000013746
Train loss: 0.9761424042976525 Val loss: 0.8206723390921979 Time: 0.9115965999953914
Train loss: 0.9216024973920867 Val loss: 0.7567510298395064 Time: 0.9270973000093363
Train loss: 1.0550413631709858 Val loss: 0.7099580432095536 Time: 0.9245513000059873
Train loss: 0.8880352438064136 Val loss: 0.7885151864556974 Time: 1.0754344000015408
Train loss: 0.8684896110733611 Val loss: 0.6306833695925889 Time: 1.083114300010493
Train loss: 0.8884698580651804 Val loss: 0.5808459939144086 Time: 1.0004801000031875
Train loss: 0.8904604886464327 Val loss: 0.7914390026116962 Time: 1.0961285999946995
Train loss: 0.8646322922720913 Val loss: 0.8316995527020481 Time: 0.9487695999996504
Train loss: 0.9291337552443313 Val loss: 0.6789486401248723 Time: 0.9910594999964815
Train loss: 0.9147741904237421 Val loss: 0.6830692086950876 Time: 1.0983658000041032
Train loss: 1.0019711106039324 Val loss: 0.610750783358526 Time: 1.0958897999953479
Train loss: 0.7041661740478204 Val loss: 0.6492090461251792 Time: 1.0460525000089547
Train loss: 0.6903417026416747 Val loss: 0.6665258802750031 Time: 1.0540378000005148
Train loss: 0.7629160996714859 Val loss: 0.6594957209017593 Time: 1.0609289999993052
Train loss: 0.7262765632052108 Val loss: 0.7905647985462565 Time: 1.0894681999925524
Train loss: 0.6808949164386577 Val loss: 0.7963339303605608 Time: 1.0282512999983737
Train loss: 0.6748638216554426 Val loss: 0.9296446633579762 Time: 0.9391012999985833
Train loss: 0.7607848554917638 Val loss: 0.6302900093542121 Time: 0.9551496999920346
Train loss: 0.7218502688362558 Val loss: 0.934648989525158 Time: 0.9482206999964546
Train loss: 0.7757510159543273 Val loss: 0.7421748823301186 Time: 0.9531047999917064
Train loss: 0.7715446486487103 Val loss: 0.6566583162880875 Time: 0.9333944999962114
Train loss: 0.737548311397052 Val loss: 0.956967049947707 Time: 0.964104699989548
Train loss: 0.9224217271908941 Val loss: 0.8931624312754138 Time: 1.0910455999983242
Train loss: 0.9325717122474941 Val loss: 0.6502040469233852 Time: 1.0761863999941852
Train loss: 0.6861684021527807 Val loss: 0.9911778897876502 Time: 0.9292812999919988
Train loss: 0.7449835653485479 Val loss: 0.7073235847469732 Time: 0.9430717999930494
Shrinking learning rate to 1e-05
Train loss: 0.776135585201692 Val loss: 0.8013777578687495 Time: 0.9527365999965696
Train loss: 0.6589960831574686 Val loss: 0.7442931351033621 Time: 0.9002066999964882
Train loss: 0.6529614909758266 Val loss: 0.7176442438649246 Time: 0.8755264999927022
Train loss: 0.6372337496605456 Val loss: 0.7172475811094046 Time: 0.907154200001969
Train loss: 0.7491386767595429 Val loss: 0.7107894101791317 Time: 0.8965666999865789
Train loss: 0.6168415751401426 Val loss: 0.692060809591112 Time: 0.8837469999998575
Train loss: 0.7699068647713512 Val loss: 0.6816112014480495 Time: 0.8867399000009755
Train loss: 0.5888443832129155 Val loss: 0.6850706416480534 Time: 0.9227518999978201
Train loss: 0.6202452463833714 Val loss: 0.6929837333809701 Time: 0.8993917000043439
Train loss: 0.5342517552496169 Val loss: 0.6992600530984419 Time: 0.8919709000037983
Train loss: 0.6537857801632168 Val loss: 0.6802993405253801 Time: 0.8917074000055436
Train loss: 0.5899390542300011 Val loss: 0.6755805103803141 Time: 0.8976525000034599
Train loss: 0.6162841674340047 Val loss: 0.6847691056918848 Time: 0.9138880999962566
Train loss: 0.5904621368631986 Val loss: 0.6764616163236497 Time: 0.8826171999971848
Train loss: 0.5795346625868376 Val loss: 0.6891930921119638 Time: 0.8921852000057697
Train loss: 0.5819334382243397 Val loss: 0.6735109706351068 Time: 0.8881688999972539
