,two_GRU_two_Linear,two_LSTM_one_CNN_two_Linear,two_LSTM_two_Linear,two_LSTM_one_Linear,two_LSTM_three_Linear,two_GRU_three_LSTM,USA
1996-52,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-01,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-02,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-03,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-04,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-05,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-06,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-07,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-08,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-09,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-10,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-11,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-12,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-13,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-14,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-15,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-16,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-17,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-18,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-19,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-20,0.023913767,0.023644645,0.027280882,0.03246946,0.025994426,0.029866934,0.0
1997-21,0.023920342,0.023673767,0.027288552,0.032473177,0.02600028,0.029877268,0.0
1997-22,0.02392412,0.023662865,0.027289398,0.032468885,0.025997635,0.029873036,0.0
1997-23,0.023928553,0.023659369,0.027286015,0.032475434,0.026002057,0.029875062,0.0
1997-24,0.02392947,0.023651354,0.027282134,0.032486178,0.0260026,0.029875144,0.0
1997-25,0.023918806,0.023640696,0.02728561,0.032484747,0.026003491,0.029882364,0.0
1997-26,0.023922617,0.023640953,0.027280677,0.03249094,0.026002314,0.02988819,0.0
1997-27,0.023912113,0.023643073,0.027282927,0.03248463,0.026003473,0.0298782,0.0
1997-28,0.02391143,0.023642931,0.027278643,0.03247317,0.026002865,0.02988176,0.0
