starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\gru_23-24.pth
Train loss: 17.228647649728828 Val loss: 1.9099903124420399 Time: 1.0148094000000007
Train loss: 16.423270204042907 Val loss: 1.8326642644747597 Time: 0.7638691000000009
Train loss: 15.93819134121171 Val loss: 1.7809708873566137 Time: 0.8982098000000001
Train loss: 14.70802236982161 Val loss: 1.650826432675562 Time: 0.8369579999999992
Train loss: 12.697333189871813 Val loss: 1.432749181590018 Time: 0.8466713999999982
Train loss: 10.131502787681711 Val loss: 1.1658176249901508 Time: 0.8166352000000003
Train loss: 8.956487908126828 Val loss: 1.0374004920638988 Time: 0.913470199999999
Train loss: 8.229707405289826 Val loss: 0.9605426236152238 Time: 0.8856722999999995
Train loss: 7.884838091241925 Val loss: 0.9168367588008247 Time: 0.9776428999999993
Train loss: 7.638619511724629 Val loss: 0.8884245865048082 Time: 0.9901417999999964
Train loss: 7.600488793934115 Val loss: 0.8732875128048287 Time: 0.9236737000000019
Train loss: 7.106153682780136 Val loss: 0.8315107546000716 Time: 0.8790619999999976
Train loss: 7.1259881849958235 Val loss: 0.8214864085520809 Time: 0.9482533999999987
Train loss: 6.914514405663784 Val loss: 0.8005918319430436 Time: 0.8470763999999988
Train loss: 6.837764039005254 Val loss: 0.7903504674255688 Time: 0.7337680000000049
Train loss: 6.626206791045825 Val loss: 0.7690141664974516 Time: 0.8075790999999981
Train loss: 6.651717581554821 Val loss: 0.7669548511619911 Time: 0.8918973999999977
Train loss: 6.394434158798548 Val loss: 0.73938891716012 Time: 0.8617662999999993
Train loss: 6.24085967717256 Val loss: 0.7201047457373614 Time: 0.859470800000004
Train loss: 6.049544520637629 Val loss: 0.7022509796704557 Time: 0.8158527000000007
Train loss: 6.226984046055904 Val loss: 0.712705637005258 Time: 0.9613700000000023
Train loss: 6.068127660310758 Val loss: 0.6933586603343824 Time: 0.9507563000000019
Train loss: 6.0511080922503755 Val loss: 0.692170624943919 Time: 0.9251895000000019
Train loss: 5.825873255783967 Val loss: 0.6701974741081527 Time: 0.889251299999998
Train loss: 5.628105505668316 Val loss: 0.6498951160308571 Time: 0.9500112999999999
Train loss: 5.616143450199949 Val loss: 0.650309270383212 Time: 1.0196670000000054
Train loss: 5.476925092603958 Val loss: 0.6252682137858298 Time: 1.0502863999999974
Train loss: 5.368748859644839 Val loss: 0.6158858144191868 Time: 1.0678240000000017
Train loss: 5.493763162170723 Val loss: 0.6258063743153511 Time: 1.1167593999999994
Train loss: 5.192702106811687 Val loss: 0.597217116906792 Time: 0.8456834999999998
Train loss: 5.093701481978863 Val loss: 0.5836355134343829 Time: 0.9201570999999973
Train loss: 4.880349513695778 Val loss: 0.563172035585271 Time: 0.9642607999999981
Train loss: 4.950811819290686 Val loss: 0.5656861483356996 Time: 1.0190550999999957
Train loss: 4.8295946469646704 Val loss: 0.5548484853789367 Time: 0.8346856000000002
Train loss: 4.585308467597722 Val loss: 0.5278933765581759 Time: 0.8284404000000052
Train loss: 4.622672502472515 Val loss: 0.5340435256563478 Time: 0.8915147000000019
Train loss: 4.480580206188028 Val loss: 0.5178354537498374 Time: 0.6997334999999936
Train loss: 4.183131672188438 Val loss: 0.4932217460773597 Time: 0.906429100000004
Train loss: 4.4600173640415495 Val loss: 0.5099068007553312 Time: 0.7517258000000027
Train loss: 4.102201822509017 Val loss: 0.4742874266357512 Time: 0.7751055000000022
Train loss: 4.110126053677116 Val loss: 0.48352947387108924 Time: 0.9489062999999973
Train loss: 4.053472419575735 Val loss: 0.47692893675020154 Time: 0.9076850000000007
Train loss: 4.072442996361503 Val loss: 0.4714494913953757 Time: 0.8886973999999981
