starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_B_23-24.pth
Train loss: 5.6835828993804824 Val loss: 0.5937688494191399 Time: 1.6284582999942359
Train loss: 5.517072570001346 Val loss: 0.5732151650066974 Time: 1.0616945000074338
Train loss: 4.87899429484275 Val loss: 0.5157895193553339 Time: 1.9195207000011578
Train loss: 4.654552489188511 Val loss: 0.4973424930825832 Time: 2.4130690000019968
Train loss: 4.206807024299394 Val loss: 0.45797458155624177 Time: 1.68267820001347
Train loss: 4.41347581453432 Val loss: 0.48191765473432235 Time: 3.6075347999867518
Train loss: 4.165025563221462 Val loss: 0.4552715146356967 Time: 2.235152100009145
Train loss: 3.9732969530607534 Val loss: 0.43979925094062006 Time: 2.05218340002466
Train loss: 4.005248750614413 Val loss: 0.4430744472191999 Time: 1.4043759999913163
Train loss: 4.034737091886484 Val loss: 0.446633193723482 Time: 1.697884499997599
Train loss: 3.6433021045554597 Val loss: 0.41196624896309075 Time: 1.776873599999817
Train loss: 3.4405685332327494 Val loss: 0.392910397916381 Time: 2.1233720000018366
Train loss: 3.3669318667693346 Val loss: 0.3854951863382148 Time: 3.144989299995359
Train loss: 3.3386571974057375 Val loss: 0.3775897906921661 Time: 2.2402134999865666
Train loss: 3.357990325720124 Val loss: 0.37962388932335045 Time: 3.5920995000051335
Train loss: 3.253091703953629 Val loss: 0.3741484240067386 Time: 2.4783266999875195
Train loss: 3.3031417111759183 Val loss: 0.37687410146231276 Time: 3.339447600010317
Train loss: 3.227827227700203 Val loss: 0.36292083574035494 Time: 1.4976579000067431
Train loss: 3.113096794946445 Val loss: 0.3539599021073643 Time: 1.0770504999964032
Train loss: 3.0806055470045237 Val loss: 0.3506317555586454 Time: 2.109381799993571
Train loss: 3.0770861973261106 Val loss: 0.34695463374746155 Time: 2.1090512000082526
Train loss: 3.0032318883711193 Val loss: 0.33326540917497405 Time: 1.668018199998187
Train loss: 3.1010527392461142 Val loss: 0.34351317732058456 Time: 0.8969911999884062
Train loss: 2.9090883885673957 Val loss: 0.32487857244828644 Time: 0.8602741999784485
Train loss: 2.7930477928901496 Val loss: 0.31568057617134576 Time: 1.078351800009841
Train loss: 2.7107937622289313 Val loss: 0.3011574579263525 Time: 0.8712858000071719
Train loss: 2.748772375142849 Val loss: 0.30222695404187 Time: 1.1797050000168383
Train loss: 2.876317863665065 Val loss: 0.3122821158538399 Time: 0.9960448000056203
Train loss: 2.881986187657617 Val loss: 0.31499897391273773 Time: 0.8109941000002436
Train loss: 2.642606334954692 Val loss: 0.28975393971871005 Time: 1.5230108000105247
Train loss: 2.908254748916036 Val loss: 0.31245738829439285 Time: 6.20829509999021
Train loss: 2.6502527710999004 Val loss: 0.28720077891738416 Time: 3.5021011999924667
