starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_drop_23-24.pth
Train loss: 18.13083170544683 Val loss: 0.8336247205734253 Time: 1.9466065999995408
Train loss: 16.859639335959507 Val loss: 0.8246690034866333 Time: 1.9252239999996164
Train loss: 16.912030383959063 Val loss: 0.8188634514808655 Time: 2.342543200000364
Train loss: 16.430991607311928 Val loss: 0.8024598956108093 Time: 1.9840308000002551
Train loss: 14.87016579579215 Val loss: 0.7246333956718445 Time: 1.986233299999185
Train loss: 11.040054372084436 Val loss: 0.5755257606506348 Time: 1.748791600000004
Train loss: 8.50020049650978 Val loss: 0.505969762802124 Time: 2.1139155000000756
Train loss: 8.157836207846572 Val loss: 0.4622117578983307 Time: 2.8537145999998756
Train loss: 7.85604159752755 Val loss: 0.4418754577636719 Time: 2.718150400000013
Train loss: 7.585261067765998 Val loss: 0.4321799576282501 Time: 1.9712685000004058
Train loss: 7.434300759498626 Val loss: 0.4326922595500946 Time: 2.074728900000082
Train loss: 7.4213879704004455 Val loss: 0.4141825735569 Time: 2.1165256000003865
Train loss: 7.336624027334537 Val loss: 0.4186526834964752 Time: 2.1283143999999083
Train loss: 7.01262462920434 Val loss: 0.38690638542175293 Time: 1.8624862999995457
Train loss: 7.199031015774807 Val loss: 0.380196750164032 Time: 1.6859838999998829
Train loss: 6.705899492895778 Val loss: 0.3767634630203247 Time: 2.0862746000002517
Train loss: 6.539446049275398 Val loss: 0.37403661012649536 Time: 2.374033999999483
Train loss: 6.311152791155473 Val loss: 0.35719847679138184 Time: 1.9626119999993534
Train loss: 6.547329637501321 Val loss: 0.34729528427124023 Time: 1.9527831999994305
Train loss: 6.074872632416941 Val loss: 0.3324331045150757 Time: 2.1596409000003405
Train loss: 6.151397499705595 Val loss: 0.31816571950912476 Time: 2.042730699999993
Train loss: 5.649709123210258 Val loss: 0.2936561107635498 Time: 1.9480938000006063
Train loss: 5.157010698624163 Val loss: 0.3075385093688965 Time: 2.2288048000000344
Train loss: 5.3536962681990214 Val loss: 0.27913933992385864 Time: 1.699449700000514
Train loss: 5.4294357120296395 Val loss: 0.2927204370498657 Time: 2.4500670999996146
Train loss: 5.217608603546662 Val loss: 0.28668785095214844 Time: 1.9462886999999682
Train loss: 4.985454023850139 Val loss: 0.2591620683670044 Time: 1.871626300000571
Train loss: 4.559390236985536 Val loss: 0.24056875705718994 Time: 1.6939448000002812
Train loss: 4.79495649074009 Val loss: 0.24585837125778198 Time: 2.4531866999996055
Train loss: 4.54979334598255 Val loss: 0.2379610538482666 Time: 2.8293899999998757
Train loss: 4.849790581207397 Val loss: 0.22809290885925293 Time: 3.240950800000064
Train loss: 4.234128353622062 Val loss: 0.2231907844543457 Time: 2.7982560999998896
Train loss: 4.3751955520363595 Val loss: 0.2146599292755127 Time: 1.9479020999997374
Train loss: 4.045223820997715 Val loss: 0.17851656675338745 Time: 2.05828400000064
Train loss: 3.7372318395838713 Val loss: 0.16583669185638428 Time: 2.5434120999998413
Train loss: 3.6930950254319157 Val loss: 0.15888208150863647 Time: 2.6502071000004435
Train loss: 3.9634852358895247 Val loss: 0.1591869592666626 Time: 3.0116938999999547
Train loss: 3.9045834715029395 Val loss: 0.15906167030334473 Time: 4.642714900000101
Train loss: 3.5123967029784566 Val loss: 0.1265680193901062 Time: 2.6039902000002257
Train loss: 3.441379511626878 Val loss: 0.173179030418396 Time: 3.9925726000001305
Train loss: 3.5639618094841623 Val loss: 0.10741865634918213 Time: 2.7003984000002674
Train loss: 3.610301032112119 Val loss: 0.10027539730072021 Time: 1.8047589000007065
Train loss: 3.2388450166620046 Val loss: 0.137234628200531 Time: 1.9886993999998595
Train loss: 3.1599881776161283 Val loss: 0.11500781774520874 Time: 1.7824348999993163
Train loss: 3.0310496758109773 Val loss: 0.10751497745513916 Time: 1.6747433000000456
Train loss: 3.2045260495180763 Val loss: 0.10411030054092407 Time: 2.1345932000003813
Train loss: 3.0672408911870943 Val loss: 0.09384578466415405 Time: 2.193117699999675
Train loss: 3.1146744956291816 Val loss: 0.09309816360473633 Time: 1.9325665000005756
Train loss: 3.280897660881948 Val loss: 0.10260146856307983 Time: 1.7092156999997314
Train loss: 3.11569609338534 Val loss: 0.09510719776153564 Time: 1.9231552000001102
Train loss: 2.938356093757193 Val loss: 0.08938837051391602 Time: 1.9182479000000967
Train loss: 2.87036797482768 Val loss: 0.1020548939704895 Time: 1.8706191000001127
Train loss: 2.851810077155836 Val loss: 0.04817080497741699 Time: 1.6556457999995473
Train loss: 2.767268945196024 Val loss: 0.05414271354675293 Time: 1.906324399999903
Train loss: 2.9461924107709763 Val loss: 0.09347116947174072 Time: 2.181871499999943
Train loss: 2.854098126151621 Val loss: 0.06981956958770752 Time: 2.094483000000764
Train loss: 2.7403722840759883 Val loss: 0.07761025428771973 Time: 1.9262332999996943
Train loss: 3.053429629189095 Val loss: 0.0687946081161499 Time: 1.9883018000000448
Train loss: 2.9963836143537605 Val loss: 0.023559212684631348 Time: 1.9699459000003117
Train loss: 2.7737881207049346 Val loss: 0.00025898218154907227 Time: 1.7421613999995316
Train loss: 2.630555778728444 Val loss: 0.04031872749328613 Time: 1.8762870999998995
Train loss: 2.8464512059253937 Val loss: 0.04997032880783081 Time: 2.1153039000000717
Train loss: 2.645834082401324 Val loss: 0.05902373790740967 Time: 1.822596699999849
Train loss: 2.6374187604175257 Val loss: 0.031458139419555664 Time: 2.138803299999381
Train loss: 2.6532717701242756 Val loss: 0.06807321310043335 Time: 1.8627233999995951
Train loss: 2.708025696559673 Val loss: 0.03465259075164795 Time: 1.8840323000003991
Train loss: 2.442483988307168 Val loss: 0.03479200601577759 Time: 1.7152869000001374
Train loss: 2.419242587596681 Val loss: 0.03190886974334717 Time: 1.8792262999995728
Train loss: 2.744593179957775 Val loss: 0.024943649768829346 Time: 1.7572829000000638
Train loss: 2.4379688213559803 Val loss: 0.05656552314758301 Time: 1.4725753000002442
