starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_drop_2lin_B_23-24.pth
Train loss: 17.54621687974378 Val loss: 1.9398321367264582 Time: 4.67522849998204
Train loss: 17.0861016579003 Val loss: 1.8965634050921074 Time: 3.8191289999813307
Train loss: 16.911657983051924 Val loss: 1.8805620113775514 Time: 3.6306230999762192
Train loss: 16.796687493037552 Val loss: 1.8723303129517945 Time: 1.9234098000160884
Train loss: 16.730880880636782 Val loss: 1.8631955990990263 Time: 1.5398539000016171
Train loss: 16.36380546043733 Val loss: 1.8218508038775736 Time: 2.779358800005866
Train loss: 14.355775788334519 Val loss: 1.5902827782841007 Time: 1.9492122999799903
Train loss: 10.160399598363426 Val loss: 1.1516906863125993 Time: 1.2848405000113416
Train loss: 8.817640565637136 Val loss: 1.0152973221929213 Time: 1.5404942000168376
Train loss: 8.460104679269023 Val loss: 0.9677388901070504 Time: 1.6718438000243623
Train loss: 8.108855704407425 Val loss: 0.9383421807361735 Time: 1.301703400007682
Train loss: 7.902127765819657 Val loss: 0.9069926460789751 Time: 1.6249185999913607
Train loss: 7.5703145875891416 Val loss: 0.8738820540682962 Time: 1.2858556999999564
Train loss: 7.642211430925164 Val loss: 0.8746207490507004 Time: 1.3704279999947175
Train loss: 7.2752063309186275 Val loss: 0.8348641507415046 Time: 1.5572569000069052
Train loss: 7.306942825413248 Val loss: 0.8383844907354892 Time: 1.3794025999959558
Train loss: 6.808981840087961 Val loss: 0.7894867781549354 Time: 2.049013899988495
Train loss: 6.630492691975 Val loss: 0.760624364925368 Time: 2.987337300000945
Train loss: 6.420883831840919 Val loss: 0.7579583199485945 Time: 2.103418699989561
Train loss: 6.241278811935512 Val loss: 0.7275447124082949 Time: 2.265392700006487
Train loss: 6.693470778443423 Val loss: 0.7714686674444898 Time: 2.935567299980903
Train loss: 6.070187783085551 Val loss: 0.7101491066502675 Time: 2.29331710000406
Train loss: 5.88156146297599 Val loss: 0.678560234373589 Time: 2.8506456000031903
Train loss: 5.471800922884025 Val loss: 0.6276029125814547 Time: 5.416631800006144
Train loss: 5.175580248817493 Val loss: 0.6125928978058182 Time: 1.721632300002966
Train loss: 5.095677037464954 Val loss: 0.5984275172343352 Time: 2.1338815999915823
Train loss: 4.836944211807767 Val loss: 0.5691964063814422 Time: 1.7052430000039749
Train loss: 4.249534167303579 Val loss: 0.4942103769320025 Time: 2.1569705000147223
Train loss: 4.444930295909032 Val loss: 0.5143252567933974 Time: 3.9676847999799065
Train loss: 3.971140604390378 Val loss: 0.4979248783182458 Time: 3.035701599990716
Train loss: 4.193449676422127 Val loss: 0.5131640938706353 Time: 3.8411417999886908
Train loss: 4.009674607078534 Val loss: 0.47797830758794013 Time: 4.637395600002492
Train loss: 3.4258558921412363 Val loss: 0.4282499643707432 Time: 2.139145399996778
Train loss: 3.794873442094243 Val loss: 0.461732323272067 Time: 1.7339684000180569
Train loss: 3.352890055294605 Val loss: 0.43455839756993886 Time: 3.112883399997372
Train loss: 3.6493901137851 Val loss: 0.47958621414677816 Time: 2.659036600001855
Train loss: 3.4548010188573786 Val loss: 0.4163754374479444 Time: 3.524581500008935
Train loss: 3.157370219299363 Val loss: 0.3821886952885628 Time: 3.8126069999998435
Train loss: 3.053417852432915 Val loss: 0.41520859726546394 Time: 3.041446899995208
Train loss: 3.3381474083944322 Val loss: 0.4674219755819259 Time: 2.1161090999958105
Train loss: 3.243823826017887 Val loss: 0.37548474273330207 Time: 2.6534531000070274
Train loss: 2.998780151959065 Val loss: 0.3526551258329617 Time: 3.084238799987361
Train loss: 3.26902497933131 Val loss: 0.4117822247235604 Time: 1.9859364999865647
Train loss: 3.0643138633381866 Val loss: 0.3666066942258527 Time: 2.2846064000041224
Train loss: 2.864671092902479 Val loss: 0.3546951577481887 Time: 2.757592100009788
Train loss: 2.9026587416901366 Val loss: 0.38062550374502496 Time: 2.2306391000165604
Train loss: 2.8211087869396767 Val loss: 0.3873028382993107 Time: 3.0354305999935605
